voucher_id,date,type,warehouse_id
PK-20260173,2026-01-02,xuat,dong_goi
PK-20260737,2026-01-02,nhap,dong_goi
PK-20260855,2026-01-02,xuat,hang_hoa
PK-20260873,2026-01-02,nhap,thanh_pham
PK-20260994,2026-01-02,nhap,nguyen_lieu_chinh
PK-20261116,2026-01-02,xuat,vat_tu
PK-20261183,2026-01-02,nhap,thanh_pham
PK-20261286,2026-01-02,xuat,hang_hoa
PK-20261335,2026-01-02,nhap,dong_goi
PK-20261450,2026-01-02,xuat,hanh_chinh
PK-20262167,2026-01-02,nhap,dong_goi
PK-20262268,2026-01-02,xuat,hang_hoa
PK-20262575,2026-01-02,xuat,nguyen_lieu_chinh
PK-20262700,2026-01-02,nhap,son_dau_mau
PK-20262765,2026-01-02,nhap,hanh_chinh
PK-20262803,2026-01-02,nhap,nguyen_lieu_chinh
PK-20262894,2026-01-02,xuat,hang_hoa
PK-20263034,2026-01-02,nhap,hang_hoa
PK-20263238,2026-01-02,nhap,thanh_pham
PK-20263336,2026-01-02,nhap,dong_goi
PK-20263662,2026-01-02,nhap,nguyen_lieu_chinh
PK-20264057,2026-01-02,xuat,dong_goi
PK-20264411,2026-01-02,nhap,hanh_chinh
PK-20264530,2026-01-02,xuat,son_dau_mau
PK-20264703,2026-01-02,nhap,vat_tu
PK-20265177,2026-01-02,nhap,hanh_chinh
PK-20265241,2026-01-02,xuat,nguyen_lieu_chinh
PK-20265383,2026-01-02,nhap,nguyen_lieu_chinh
PK-20265696,2026-01-02,nhap,dong_goi
PK-20265853,2026-01-02,nhap,thanh_pham
PK-20266030,2026-01-02,xuat,hang_hoa
PK-20266318,2026-01-02,nhap,son_dau_mau
PK-20266320,2026-01-02,nhap,nguyen_lieu_chinh
PK-20266422,2026-01-02,nhap,dong_goi
PK-20266939,2026-01-02,xuat,dong_goi
PK-20266987,2026-01-02,nhap,hanh_chinh
PK-20267107,2026-01-02,nhap,nguyen_lieu_chinh
PK-20267644,2026-01-02,xuat,vat_tu
PK-20267827,2026-01-02,nhap,hanh_chinh
PK-20268351,2026-01-02,xuat,nguyen_lieu_chinh
PK-20268379,2026-01-02,nhap,son_dau_mau
PK-20260075,2026-01-03,nhap,nguyen_lieu_chinh
PK-20260302,2026-01-03,xuat,hang_hoa
PK-20260304,2026-01-03,xuat,son_dau_mau
PK-20260646,2026-01-03,xuat,nguyen_lieu_chinh
PK-20261024,2026-01-03,xuat,thanh_pham
PK-20261074,2026-01-03,nhap,thanh_pham
PK-20261685,2026-01-03,xuat,vat_tu
PK-20262005,2026-01-03,xuat,vat_tu
PK-20262021,2026-01-03,xuat,hanh_chinh
PK-20262293,2026-01-03,nhap,hang_hoa
PK-20262786,2026-01-03,xuat,nguyen_lieu_chinh
PK-20262836,2026-01-03,xuat,dong_goi
PK-20262871,2026-01-03,xuat,vat_tu
PK-20263022,2026-01-03,xuat,hanh_chinh
PK-20263227,2026-01-03,xuat,dong_goi
PK-20263296,2026-01-03,xuat,thanh_pham
PK-20263514,2026-01-03,xuat,dong_goi
PK-20263562,2026-01-03,nhap,son_dau_mau
PK-20263590,2026-01-03,xuat,hanh_chinh
PK-20263634,2026-01-03,xuat,nguyen_lieu_chinh
PK-20263881,2026-01-03,nhap,dong_goi
PK-20264109,2026-01-03,nhap,hanh_chinh
PK-20264201,2026-01-03,xuat,nguyen_lieu_chinh
PK-20264238,2026-01-03,nhap,thanh_pham
PK-20264266,2026-01-03,nhap,thanh_pham
PK-20264299,2026-01-03,nhap,dong_goi
PK-20264324,2026-01-03,nhap,son_dau_mau
PK-20265097,2026-01-03,xuat,nguyen_lieu_chinh
PK-20265109,2026-01-03,nhap,son_dau_mau
PK-20265413,2026-01-03,xuat,son_dau_mau
PK-20265694,2026-01-03,nhap,hang_hoa
PK-20265828,2026-01-03,xuat,hang_hoa
PK-20265863,2026-01-03,xuat,nguyen_lieu_chinh
PK-20265930,2026-01-03,nhap,nguyen_lieu_chinh
PK-20266016,2026-01-03,nhap,dong_goi
PK-20266219,2026-01-03,nhap,thanh_pham
PK-20266448,2026-01-03,nhap,son_dau_mau
PK-20266713,2026-01-03,nhap,hanh_chinh
PK-20266740,2026-01-03,xuat,dong_goi
PK-20266917,2026-01-03,nhap,nguyen_lieu_chinh
PK-20266973,2026-01-03,nhap,hanh_chinh
PK-20267265,2026-01-03,nhap,nguyen_lieu_chinh
PK-20267692,2026-01-03,nhap,son_dau_mau
PK-20267742,2026-01-03,nhap,hang_hoa
PK-20268119,2026-01-03,nhap,son_dau_mau
PK-20268145,2026-01-03,xuat,dong_goi
PK-20268480,2026-01-03,xuat,hang_hoa
PK-20260292,2026-01-04,nhap,vat_tu
PK-20260294,2026-01-04,nhap,dong_goi
PK-20260360,2026-01-04,xuat,hang_hoa
PK-20260559,2026-01-04,nhap,nguyen_lieu_chinh
PK-20260618,2026-01-04,xuat,dong_goi
PK-20260651,2026-01-04,nhap,hang_hoa
PK-20261292,2026-01-04,xuat,son_dau_mau
PK-20261376,2026-01-04,nhap,hanh_chinh
PK-20261555,2026-01-04,xuat,nguyen_lieu_chinh
PK-20261644,2026-01-04,nhap,hanh_chinh
PK-20261842,2026-01-04,nhap,hang_hoa
PK-20261876,2026-01-04,xuat,hanh_chinh
PK-20261938,2026-01-04,xuat,vat_tu
PK-20262108,2026-01-04,xuat,hanh_chinh
PK-20262342,2026-01-04,nhap,hang_hoa
PK-20262655,2026-01-04,xuat,vat_tu
PK-20262850,2026-01-04,xuat,dong_goi
PK-20262955,2026-01-04,nhap,son_dau_mau
PK-20262981,2026-01-04,nhap,thanh_pham
PK-20263033,2026-01-04,xuat,hang_hoa
PK-20263103,2026-01-04,nhap,son_dau_mau
PK-20263110,2026-01-04,nhap,hanh_chinh
PK-20263384,2026-01-04,xuat,hanh_chinh
PK-20263718,2026-01-04,xuat,hang_hoa
PK-20263750,2026-01-04,xuat,son_dau_mau
PK-20263798,2026-01-04,nhap,hang_hoa
PK-20263864,2026-01-04,xuat,hanh_chinh
PK-20263930,2026-01-04,xuat,hanh_chinh
PK-20264001,2026-01-04,xuat,dong_goi
PK-20264086,2026-01-04,nhap,vat_tu
PK-20264671,2026-01-04,nhap,hang_hoa
PK-20264729,2026-01-04,nhap,thanh_pham
PK-20264785,2026-01-04,xuat,son_dau_mau
PK-20264975,2026-01-04,xuat,hang_hoa
PK-20265028,2026-01-04,nhap,vat_tu
PK-20265172,2026-01-04,nhap,dong_goi
PK-20265497,2026-01-04,xuat,hanh_chinh
PK-20265507,2026-01-04,nhap,dong_goi
PK-20265706,2026-01-04,nhap,son_dau_mau
PK-20265900,2026-01-04,xuat,hang_hoa
PK-20265911,2026-01-04,nhap,hang_hoa
PK-20266231,2026-01-04,nhap,vat_tu
PK-20266274,2026-01-04,xuat,nguyen_lieu_chinh
PK-20266279,2026-01-04,xuat,son_dau_mau
PK-20266568,2026-01-04,xuat,nguyen_lieu_chinh
PK-20266843,2026-01-04,xuat,hang_hoa
PK-20266930,2026-01-04,nhap,vat_tu
PK-20267550,2026-01-04,xuat,vat_tu
PK-20267674,2026-01-04,nhap,son_dau_mau
PK-20267812,2026-01-04,nhap,hanh_chinh
PK-20268296,2026-01-04,nhap,son_dau_mau
PK-20268355,2026-01-04,xuat,dong_goi
PK-20260048,2026-01-05,xuat,dong_goi
PK-20260261,2026-01-05,nhap,hang_hoa
PK-20260428,2026-01-05,nhap,son_dau_mau
PK-20260468,2026-01-05,xuat,son_dau_mau
PK-20260609,2026-01-05,xuat,thanh_pham
PK-20260689,2026-01-05,xuat,hang_hoa
PK-20260818,2026-01-05,xuat,hang_hoa
PK-20260901,2026-01-05,nhap,son_dau_mau
PK-20261499,2026-01-05,nhap,hanh_chinh
PK-20261509,2026-01-05,nhap,dong_goi
PK-20261719,2026-01-05,nhap,nguyen_lieu_chinh
PK-20261759,2026-01-05,xuat,hang_hoa
PK-20261991,2026-01-05,nhap,thanh_pham
PK-20262176,2026-01-05,xuat,nguyen_lieu_chinh
PK-20262437,2026-01-05,nhap,vat_tu
PK-20262689,2026-01-05,xuat,vat_tu
PK-20263316,2026-01-05,xuat,dong_goi
PK-20263323,2026-01-05,xuat,son_dau_mau
PK-20263548,2026-01-05,nhap,hanh_chinh
PK-20263792,2026-01-05,nhap,hang_hoa
PK-20263918,2026-01-05,xuat,hanh_chinh
PK-20264037,2026-01-05,nhap,dong_goi
PK-20264064,2026-01-05,nhap,thanh_pham
PK-20264255,2026-01-05,nhap,thanh_pham
PK-20264805,2026-01-05,nhap,son_dau_mau
PK-20264840,2026-01-05,xuat,dong_goi
PK-20265098,2026-01-05,xuat,hang_hoa
PK-20265387,2026-01-05,nhap,nguyen_lieu_chinh
PK-20265677,2026-01-05,nhap,nguyen_lieu_chinh
PK-20265861,2026-01-05,nhap,hang_hoa
PK-20265901,2026-01-05,xuat,hang_hoa
PK-20266038,2026-01-05,nhap,dong_goi
PK-20266352,2026-01-05,xuat,nguyen_lieu_chinh
PK-20266547,2026-01-05,nhap,dong_goi
PK-20266833,2026-01-05,nhap,dong_goi
PK-20266868,2026-01-05,xuat,hang_hoa
PK-20267256,2026-01-05,xuat,nguyen_lieu_chinh
PK-20267377,2026-01-05,nhap,son_dau_mau
PK-20267488,2026-01-05,xuat,thanh_pham
PK-20267509,2026-01-05,xuat,hang_hoa
PK-20267596,2026-01-05,nhap,son_dau_mau
PK-20267658,2026-01-05,xuat,vat_tu
PK-20267741,2026-01-05,xuat,nguyen_lieu_chinh
PK-20267802,2026-01-05,nhap,son_dau_mau
PK-20267804,2026-01-05,xuat,nguyen_lieu_chinh
PK-20267838,2026-01-05,nhap,dong_goi
PK-20268048,2026-01-05,xuat,vat_tu
PK-20268207,2026-01-05,nhap,dong_goi
PK-20268275,2026-01-05,nhap,son_dau_mau
PK-20260011,2026-01-06,nhap,vat_tu
PK-20260112,2026-01-06,nhap,hanh_chinh
PK-20260116,2026-01-06,nhap,vat_tu
PK-20260221,2026-01-06,xuat,vat_tu
PK-20260226,2026-01-06,xuat,nguyen_lieu_chinh
PK-20260317,2026-01-06,xuat,hang_hoa
PK-20260751,2026-01-06,xuat,thanh_pham
PK-20260764,2026-01-06,xuat,hang_hoa
PK-20260857,2026-01-06,xuat,hanh_chinh
PK-20260945,2026-01-06,nhap,hanh_chinh
PK-20261030,2026-01-06,xuat,hang_hoa
PK-20261118,2026-01-06,nhap,dong_goi
PK-20261178,2026-01-06,xuat,nguyen_lieu_chinh
PK-20261288,2026-01-06,nhap,nguyen_lieu_chinh
PK-20261462,2026-01-06,xuat,hang_hoa
PK-20261520,2026-01-06,xuat,thanh_pham
PK-20261760,2026-01-06,nhap,vat_tu
PK-20261865,2026-01-06,nhap,son_dau_mau
PK-20261957,2026-01-06,nhap,dong_goi
PK-20262007,2026-01-06,nhap,vat_tu
PK-20262361,2026-01-06,xuat,thanh_pham
PK-20262531,2026-01-06,xuat,vat_tu
PK-20262657,2026-01-06,nhap,vat_tu
PK-20262797,2026-01-06,xuat,hanh_chinh
PK-20262869,2026-01-06,nhap,dong_goi
PK-20262877,2026-01-06,xuat,vat_tu
PK-20263312,2026-01-06,nhap,thanh_pham
PK-20263692,2026-01-06,xuat,hang_hoa
PK-20263841,2026-01-06,nhap,nguyen_lieu_chinh
PK-20263946,2026-01-06,xuat,thanh_pham
PK-20264162,2026-01-06,nhap,vat_tu
PK-20264524,2026-01-06,xuat,nguyen_lieu_chinh
PK-20264553,2026-01-06,nhap,son_dau_mau
PK-20264660,2026-01-06,xuat,dong_goi
PK-20264777,2026-01-06,nhap,nguyen_lieu_chinh
PK-20264880,2026-01-06,xuat,hanh_chinh
PK-20264919,2026-01-06,nhap,son_dau_mau
PK-20264937,2026-01-06,xuat,dong_goi
PK-20264955,2026-01-06,xuat,nguyen_lieu_chinh
PK-20265001,2026-01-06,nhap,thanh_pham
PK-20265106,2026-01-06,xuat,hang_hoa
PK-20265313,2026-01-06,xuat,hanh_chinh
PK-20265506,2026-01-06,xuat,thanh_pham
PK-20265566,2026-01-06,nhap,thanh_pham
PK-20265600,2026-01-06,nhap,thanh_pham
PK-20265622,2026-01-06,xuat,vat_tu
PK-20265962,2026-01-06,xuat,nguyen_lieu_chinh
PK-20265990,2026-01-06,xuat,hanh_chinh
PK-20266032,2026-01-06,nhap,hanh_chinh
PK-20266374,2026-01-06,xuat,hang_hoa
PK-20266551,2026-01-06,nhap,hanh_chinh
PK-20266591,2026-01-06,xuat,thanh_pham
PK-20266954,2026-01-06,xuat,thanh_pham
PK-20267316,2026-01-06,xuat,thanh_pham
PK-20267340,2026-01-06,xuat,vat_tu
PK-20268034,2026-01-06,xuat,hang_hoa
PK-20268144,2026-01-06,xuat,vat_tu
PK-20268481,2026-01-06,xuat,thanh_pham
PK-20260736,2026-01-07,xuat,vat_tu
PK-20261193,2026-01-07,nhap,hang_hoa
PK-20261311,2026-01-07,xuat,hanh_chinh
PK-20261312,2026-01-07,nhap,hang_hoa
PK-20261524,2026-01-07,nhap,dong_goi
PK-20261676,2026-01-07,nhap,vat_tu
PK-20261712,2026-01-07,nhap,hang_hoa
PK-20261745,2026-01-07,nhap,nguyen_lieu_chinh
PK-20261769,2026-01-07,nhap,hanh_chinh
PK-20262016,2026-01-07,xuat,dong_goi
PK-20262147,2026-01-07,nhap,vat_tu
PK-20262246,2026-01-07,xuat,hanh_chinh
PK-20262550,2026-01-07,nhap,vat_tu
PK-20262640,2026-01-07,nhap,hanh_chinh
PK-20262831,2026-01-07,xuat,hang_hoa
PK-20262968,2026-01-07,xuat,hanh_chinh
PK-20263345,2026-01-07,nhap,thanh_pham
PK-20263507,2026-01-07,xuat,vat_tu
PK-20263540,2026-01-07,xuat,nguyen_lieu_chinh
PK-20264563,2026-01-07,xuat,thanh_pham
PK-20264600,2026-01-07,nhap,son_dau_mau
PK-20264820,2026-01-07,xuat,nguyen_lieu_chinh
PK-20264894,2026-01-07,xuat,thanh_pham
PK-20264992,2026-01-07,xuat,hanh_chinh
PK-20265314,2026-01-07,nhap,hang_hoa
PK-20265317,2026-01-07,xuat,vat_tu
PK-20265371,2026-01-07,nhap,vat_tu
PK-20265454,2026-01-07,nhap,hanh_chinh
PK-20265486,2026-01-07,xuat,hang_hoa
PK-20265682,2026-01-07,xuat,hanh_chinh
PK-20266121,2026-01-07,nhap,son_dau_mau
PK-20266133,2026-01-07,xuat,son_dau_mau
PK-20266157,2026-01-07,nhap,vat_tu
PK-20266220,2026-01-07,xuat,vat_tu
PK-20266323,2026-01-07,nhap,hang_hoa
PK-20266334,2026-01-07,nhap,son_dau_mau
PK-20266658,2026-01-07,xuat,hang_hoa
PK-20267044,2026-01-07,nhap,hanh_chinh
PK-20267117,2026-01-07,nhap,dong_goi
PK-20267354,2026-01-07,nhap,thanh_pham
PK-20267459,2026-01-07,xuat,hang_hoa
PK-20267522,2026-01-07,nhap,dong_goi
PK-20267734,2026-01-07,nhap,thanh_pham
PK-20267877,2026-01-07,xuat,dong_goi
PK-20268040,2026-01-07,nhap,hanh_chinh
PK-20268041,2026-01-07,xuat,hang_hoa
PK-20268199,2026-01-07,xuat,thanh_pham
PK-20268335,2026-01-07,nhap,son_dau_mau
PK-20260004,2026-01-08,xuat,hang_hoa
PK-20260330,2026-01-08,nhap,vat_tu
PK-20260387,2026-01-08,nhap,nguyen_lieu_chinh
PK-20260530,2026-01-08,xuat,hanh_chinh
PK-20260545,2026-01-08,xuat,dong_goi
PK-20260581,2026-01-08,xuat,vat_tu
PK-20260852,2026-01-08,xuat,hang_hoa
PK-20260912,2026-01-08,xuat,vat_tu
PK-20260979,2026-01-08,xuat,nguyen_lieu_chinh
PK-20261003,2026-01-08,xuat,son_dau_mau
PK-20261123,2026-01-08,nhap,hang_hoa
PK-20261164,2026-01-08,xuat,dong_goi
PK-20261192,2026-01-08,nhap,hang_hoa
PK-20261486,2026-01-08,xuat,son_dau_mau
PK-20261579,2026-01-08,xuat,hang_hoa
PK-20261600,2026-01-08,xuat,son_dau_mau
PK-20261833,2026-01-08,xuat,vat_tu
PK-20261952,2026-01-08,nhap,hanh_chinh
PK-20262115,2026-01-08,nhap,hanh_chinh
PK-20262139,2026-01-08,xuat,hanh_chinh
PK-20262162,2026-01-08,xuat,hanh_chinh
PK-20262527,2026-01-08,xuat,thanh_pham
PK-20262592,2026-01-08,xuat,thanh_pham
PK-20262647,2026-01-08,nhap,dong_goi
PK-20262683,2026-01-08,nhap,hang_hoa
PK-20262886,2026-01-08,xuat,hang_hoa
PK-20263102,2026-01-08,nhap,thanh_pham
PK-20263175,2026-01-08,nhap,hanh_chinh
PK-20263871,2026-01-08,xuat,thanh_pham
PK-20263911,2026-01-08,nhap,son_dau_mau
PK-20264189,2026-01-08,xuat,son_dau_mau
PK-20264190,2026-01-08,xuat,hang_hoa
PK-20264723,2026-01-08,nhap,hang_hoa
PK-20264769,2026-01-08,xuat,hang_hoa
PK-20264811,2026-01-08,xuat,hang_hoa
PK-20265058,2026-01-08,xuat,thanh_pham
PK-20265291,2026-01-08,xuat,son_dau_mau
PK-20265836,2026-01-08,xuat,vat_tu
PK-20266619,2026-01-08,nhap,vat_tu
PK-20267283,2026-01-08,xuat,nguyen_lieu_chinh
PK-20267376,2026-01-08,xuat,thanh_pham
PK-20267502,2026-01-08,nhap,nguyen_lieu_chinh
PK-20267823,2026-01-08,nhap,hang_hoa
PK-20268224,2026-01-08,xuat,nguyen_lieu_chinh
PK-20268423,2026-01-08,nhap,nguyen_lieu_chinh
PK-20260162,2026-01-09,nhap,hanh_chinh
PK-20260669,2026-01-09,nhap,vat_tu
PK-20260726,2026-01-09,nhap,thanh_pham
PK-20261099,2026-01-09,xuat,nguyen_lieu_chinh
PK-20261163,2026-01-09,xuat,hanh_chinh
PK-20261258,2026-01-09,xuat,dong_goi
PK-20261596,2026-01-09,nhap,hanh_chinh
PK-20261599,2026-01-09,nhap,vat_tu
PK-20261717,2026-01-09,nhap,thanh_pham
PK-20261722,2026-01-09,nhap,son_dau_mau
PK-20262001,2026-01-09,xuat,vat_tu
PK-20262149,2026-01-09,nhap,dong_goi
PK-20262382,2026-01-09,nhap,thanh_pham
PK-20262581,2026-01-09,xuat,hang_hoa
PK-20262699,2026-01-09,xuat,nguyen_lieu_chinh
PK-20262839,2026-01-09,xuat,nguyen_lieu_chinh
PK-20262944,2026-01-09,xuat,thanh_pham
PK-20263001,2026-01-09,xuat,hang_hoa
PK-20263244,2026-01-09,xuat,hang_hoa
PK-20263278,2026-01-09,nhap,hang_hoa
PK-20263517,2026-01-09,xuat,hang_hoa
PK-20263688,2026-01-09,nhap,vat_tu
PK-20263758,2026-01-09,nhap,hang_hoa
PK-20263940,2026-01-09,xuat,nguyen_lieu_chinh
PK-20263945,2026-01-09,nhap,son_dau_mau
PK-20264169,2026-01-09,nhap,dong_goi
PK-20264412,2026-01-09,xuat,dong_goi
PK-20264613,2026-01-09,xuat,son_dau_mau
PK-20264823,2026-01-09,nhap,nguyen_lieu_chinh
PK-20265067,2026-01-09,nhap,thanh_pham
PK-20265096,2026-01-09,xuat,thanh_pham
PK-20265142,2026-01-09,xuat,dong_goi
PK-20265198,2026-01-09,xuat,thanh_pham
PK-20265261,2026-01-09,xuat,hanh_chinh
PK-20265289,2026-01-09,xuat,thanh_pham
PK-20265523,2026-01-09,xuat,hang_hoa
PK-20265547,2026-01-09,xuat,thanh_pham
PK-20266061,2026-01-09,nhap,nguyen_lieu_chinh
PK-20266178,2026-01-09,xuat,hanh_chinh
PK-20266500,2026-01-09,xuat,vat_tu
PK-20266546,2026-01-09,nhap,hang_hoa
PK-20266634,2026-01-09,nhap,hang_hoa
PK-20266681,2026-01-09,nhap,dong_goi
PK-20266705,2026-01-09,nhap,son_dau_mau
PK-20266815,2026-01-09,xuat,thanh_pham
PK-20266967,2026-01-09,nhap,hang_hoa
PK-20267093,2026-01-09,nhap,hang_hoa
PK-20267201,2026-01-09,nhap,vat_tu
PK-20267380,2026-01-09,xuat,son_dau_mau
PK-20267419,2026-01-09,nhap,vat_tu
PK-20267534,2026-01-09,xuat,thanh_pham
PK-20267783,2026-01-09,nhap,son_dau_mau
PK-20268194,2026-01-09,nhap,hanh_chinh
PK-20268238,2026-01-09,nhap,hang_hoa
PK-20268250,2026-01-09,nhap,thanh_pham
PK-20268399,2026-01-09,xuat,hang_hoa
PK-20268416,2026-01-09,xuat,hanh_chinh
PK-20260123,2026-01-10,nhap,vat_tu
PK-20260262,2026-01-10,nhap,dong_goi
PK-20260401,2026-01-10,xuat,thanh_pham
PK-20260617,2026-01-10,nhap,son_dau_mau
PK-20260704,2026-01-10,nhap,hang_hoa
PK-20260992,2026-01-10,xuat,son_dau_mau
PK-20261012,2026-01-10,xuat,hanh_chinh
PK-20261207,2026-01-10,nhap,son_dau_mau
PK-20261271,2026-01-10,nhap,thanh_pham
PK-20261337,2026-01-10,nhap,hang_hoa
PK-20261636,2026-01-10,xuat,hanh_chinh
PK-20261646,2026-01-10,nhap,hanh_chinh
PK-20261780,2026-01-10,xuat,dong_goi
PK-20262060,2026-01-10,xuat,hanh_chinh
PK-20262077,2026-01-10,xuat,son_dau_mau
PK-20262410,2026-01-10,xuat,dong_goi
PK-20262523,2026-01-10,nhap,hanh_chinh
PK-20262751,2026-01-10,nhap,nguyen_lieu_chinh
PK-20262813,2026-01-10,nhap,son_dau_mau
PK-20262969,2026-01-10,nhap,dong_goi
PK-20263030,2026-01-10,xuat,hang_hoa
PK-20263088,2026-01-10,nhap,thanh_pham
PK-20263702,2026-01-10,xuat,thanh_pham
PK-20263775,2026-01-10,nhap,son_dau_mau
PK-20263865,2026-01-10,nhap,son_dau_mau
PK-20264091,2026-01-10,nhap,son_dau_mau
PK-20264106,2026-01-10,nhap,thanh_pham
PK-20264140,2026-01-10,nhap,son_dau_mau
PK-20264223,2026-01-10,nhap,nguyen_lieu_chinh
PK-20264258,2026-01-10,nhap,thanh_pham
PK-20264353,2026-01-10,nhap,nguyen_lieu_chinh
PK-20264386,2026-01-10,nhap,nguyen_lieu_chinh
PK-20264541,2026-01-10,nhap,hanh_chinh
PK-20264593,2026-01-10,nhap,son_dau_mau
PK-20264629,2026-01-10,nhap,nguyen_lieu_chinh
PK-20264959,2026-01-10,xuat,hanh_chinh
PK-20264982,2026-01-10,xuat,thanh_pham
PK-20264993,2026-01-10,xuat,son_dau_mau
PK-20265149,2026-01-10,xuat,dong_goi
PK-20265178,2026-01-10,nhap,nguyen_lieu_chinh
PK-20265189,2026-01-10,xuat,hanh_chinh
PK-20265220,2026-01-10,xuat,vat_tu
PK-20265279,2026-01-10,nhap,nguyen_lieu_chinh
PK-20265284,2026-01-10,nhap,son_dau_mau
PK-20265398,2026-01-10,xuat,son_dau_mau
PK-20265402,2026-01-10,nhap,thanh_pham
PK-20265633,2026-01-10,xuat,son_dau_mau
PK-20265713,2026-01-10,nhap,vat_tu
PK-20265832,2026-01-10,xuat,dong_goi
PK-20265874,2026-01-10,nhap,hanh_chinh
PK-20265947,2026-01-10,nhap,nguyen_lieu_chinh
PK-20266054,2026-01-10,xuat,vat_tu
PK-20266211,2026-01-10,nhap,nguyen_lieu_chinh
PK-20266217,2026-01-10,nhap,hanh_chinh
PK-20266428,2026-01-10,xuat,son_dau_mau
PK-20266553,2026-01-10,xuat,hanh_chinh
PK-20266580,2026-01-10,nhap,hang_hoa
PK-20266756,2026-01-10,nhap,hang_hoa
PK-20266885,2026-01-10,nhap,nguyen_lieu_chinh
PK-20267314,2026-01-10,xuat,son_dau_mau
PK-20267355,2026-01-10,xuat,son_dau_mau
PK-20267432,2026-01-10,nhap,hanh_chinh
PK-20267782,2026-01-10,nhap,nguyen_lieu_chinh
PK-20268280,2026-01-10,xuat,hang_hoa
PK-20260333,2026-01-11,nhap,son_dau_mau
PK-20260642,2026-01-11,nhap,nguyen_lieu_chinh
PK-20260740,2026-01-11,nhap,hanh_chinh
PK-20260760,2026-01-11,xuat,thanh_pham
PK-20260782,2026-01-11,xuat,thanh_pham
PK-20260849,2026-01-11,xuat,hanh_chinh
PK-20261173,2026-01-11,xuat,vat_tu
PK-20261440,2026-01-11,nhap,hang_hoa
PK-20261749,2026-01-11,nhap,thanh_pham
PK-20261843,2026-01-11,nhap,thanh_pham
PK-20262202,2026-01-11,nhap,hanh_chinh
PK-20262330,2026-01-11,xuat,thanh_pham
PK-20262364,2026-01-11,nhap,vat_tu
PK-20262567,2026-01-11,nhap,vat_tu
PK-20262924,2026-01-11,nhap,son_dau_mau
PK-20263222,2026-01-11,nhap,thanh_pham
PK-20263303,2026-01-11,xuat,dong_goi
PK-20263604,2026-01-11,nhap,dong_goi
PK-20263737,2026-01-11,xuat,nguyen_lieu_chinh
PK-20263797,2026-01-11,nhap,vat_tu
PK-20264117,2026-01-11,nhap,hanh_chinh
PK-20264180,2026-01-11,nhap,dong_goi
PK-20264278,2026-01-11,xuat,hanh_chinh
PK-20264313,2026-01-11,xuat,hanh_chinh
PK-20264376,2026-01-11,nhap,nguyen_lieu_chinh
PK-20264568,2026-01-11,xuat,son_dau_mau
PK-20264628,2026-01-11,xuat,hanh_chinh
PK-20264654,2026-01-11,nhap,dong_goi
PK-20264748,2026-01-11,nhap,dong_goi
PK-20264945,2026-01-11,nhap,vat_tu
PK-20265029,2026-01-11,xuat,hanh_chinh
PK-20265271,2026-01-11,nhap,nguyen_lieu_chinh
