month,warehouse_id,item_code,item_name,unit,ton_dau,nhap,xuat,ton_cuoi,days_in_stock
1,nguyen_lieu_chinh,GO-NL-020,Gỗ hương Lào dày 30mm,m3,1014.35,81.15,71.0,1024.5,72
1,nguyen_lieu_chinh,GO-NL-027,Gỗ thông ghép thanh dày 50mm,m3,2089.37,167.15,146.26,2110.26,25
1,nguyen_lieu_chinh,GO-NL-012,Gỗ sồi Nga cỡ nhỏ,m3,1660.09,132.81,116.21,1676.69,48
1,nguyen_lieu_chinh,GO-NL-019,Gỗ hương Lào dày 20mm,m3,3897.49,311.8,272.82,3936.47,108
1,nguyen_lieu_chinh,GO-NL-002,Gỗ óc chó Mỹ dày 30mm,m3,2246.88,179.75,157.28,2269.35,98
1,nguyen_lieu_chinh,GO-NL-025,Gỗ thông ghép thanh dày 20mm,m3,4024.95,322.0,281.75,4065.2,144
1,nguyen_lieu_chinh,GO-NL-008,Gỗ sồi Nga dày 30mm,m3,1173.55,93.88,82.15,1185.28,36
1,nguyen_lieu_chinh,GO-NL-024,Gỗ hương Lào cỡ nhỏ,m3,617.17,49.37,43.2,623.34,42
1,nguyen_lieu_chinh,GO-NL-010,Gỗ sồi Nga cỡ lớn,m3,1877.19,150.17,131.4,1895.96,96
1,nguyen_lieu_chinh,GO-NL-005,Gỗ óc chó Mỹ cỡ trung,m3,1175.41,94.03,82.28,1187.16,41
1,nguyen_lieu_chinh,GO-NL-029,Gỗ thông ghép thanh cỡ trung,m3,404.36,32.35,28.31,408.4,70
1,nguyen_lieu_chinh,GO-NL-013-001,Gỗ gõ đỏ Nam Phi dày 20mm #1,m3,3231.26,258.5,226.19,3263.57,41
1,nguyen_lieu_chinh,GO-NL-018-001,Gỗ gõ đỏ Nam Phi cỡ nhỏ #1,m3,379.28,30.34,26.55,383.07,109
1,nguyen_lieu_chinh,GO-NL-001-001,Gỗ óc chó Mỹ dày 20mm #1,m3,1839.75,147.18,128.78,1858.15,72
1,nguyen_lieu_chinh,GO-NL-032-001,Gỗ xoan đào Gia Lai dày 30mm #1,m3,1987.8,159.02,139.15,2007.67,48
1,nguyen_lieu_chinh,GO-NL-022-001,Gỗ hương Lào cỡ lớn #1,m3,3099.97,248.0,217.0,3130.97,85
1,nguyen_lieu_chinh,GO-NL-026-001,Gỗ thông ghép thanh dày 30mm #1,m3,1385.72,110.86,97.0,1399.58,49
1,nguyen_lieu_chinh,GO-NL-033-001,Gỗ xoan đào Gia Lai dày 50mm #1,m3,1341.2,107.3,93.88,1354.62,87
1,nguyen_lieu_chinh,GO-NL-030-001,Gỗ thông ghép thanh cỡ nhỏ #1,m3,212.91,17.03,14.9,215.04,143
1,nguyen_lieu_chinh,GO-NL-021-001,Gỗ hương Lào dày 50mm #1,m3,1374.8,109.98,96.24,1388.54,124
1,nguyen_lieu_chinh,GO-NL-034-001,Gỗ xoan đào Gia Lai cỡ lớn #1,m3,1556.13,124.49,108.93,1571.69,145
1,nguyen_lieu_chinh,GO-NL-004-001,Gỗ óc chó Mỹ cỡ lớn #1,m3,863.23,69.06,60.43,871.86,119
1,nguyen_lieu_chinh,GO-NL-023-001,Gỗ hương Lào cỡ trung #1,m3,2412.39,192.99,168.87,2436.51,13
1,nguyen_lieu_chinh,GO-NL-009-001,Gỗ sồi Nga dày 50mm #1,m3,2456.43,196.51,171.95,2480.99,106
1,nguyen_lieu_chinh,GO-NL-017-001,Gỗ gõ đỏ Nam Phi cỡ trung #1,m3,807.61,64.61,56.53,815.69,61
1,nguyen_lieu_chinh,GO-NL-011-001,Gỗ sồi Nga cỡ trung #1,m3,2659.75,212.78,186.18,2686.35,70
1,nguyen_lieu_chinh,GO-NL-015-001,Gỗ gõ đỏ Nam Phi dày 50mm #1,m3,419.67,33.57,29.38,423.86,8
1,nguyen_lieu_chinh,GO-NL-007-001,Gỗ sồi Nga dày 20mm #1,m3,1874.11,149.93,131.19,1892.85,130
1,nguyen_lieu_chinh,GO-NL-006-001,Gỗ óc chó Mỹ cỡ nhỏ #1,m3,3857.11,308.57,270.0,3895.68,13
1,nguyen_lieu_chinh,GO-NL-031-001,Gỗ xoan đào Gia Lai dày 20mm #1,m3,760.2,60.82,53.21,767.81,143
1,nguyen_lieu_chinh,GO-NL-003-001,Gỗ óc chó Mỹ dày 50mm #1,m3,2832.36,226.59,198.27,2860.68,95
1,nguyen_lieu_chinh,GO-NL-014-001,Gỗ gõ đỏ Nam Phi dày 30mm #1,m3,1405.61,112.45,98.39,1419.67,31
1,nguyen_lieu_chinh,GO-NL-028-001,Gỗ thông ghép thanh cỡ lớn #1,m3,2333.66,186.69,163.36,2356.99,23
1,nguyen_lieu_chinh,GO-NL-035-001,Gỗ xoan đào Gia Lai cỡ trung #1,m3,1932.98,154.64,135.31,1952.31,147
1,nguyen_lieu_chinh,GO-NL-016-001,Gỗ gõ đỏ Nam Phi cỡ lớn #1,m3,2615.97,209.28,183.12,2642.13,121
1,nguyen_lieu_chinh,GO-NL-020-001,Gỗ hương Lào dày 30mm #1,m3,1494.83,119.59,104.64,1509.78,77
1,nguyen_lieu_chinh,GO-NL-027-001,Gỗ thông ghép thanh dày 50mm #1,m3,1044.68,83.57,73.13,1055.12,15
1,nguyen_lieu_chinh,GO-NL-012-001,Gỗ sồi Nga cỡ nhỏ #1,m3,1264.83,101.19,88.54,1277.48,38
1,nguyen_lieu_chinh,GO-NL-019-001,Gỗ hương Lào dày 20mm #1,m3,4015.6,321.25,281.09,4055.76,98
1,nguyen_lieu_chinh,GO-NL-002-001,Gỗ óc chó Mỹ dày 30mm #1,m3,1582.59,126.61,110.78,1598.42,88
1,nguyen_lieu_chinh,GO-NL-025-001,Gỗ thông ghép thanh dày 20mm #1,m3,2027.72,162.22,141.94,2048.0,134
1,nguyen_lieu_chinh,GO-NL-008-001,Gỗ sồi Nga dày 30mm #1,m3,2347.1,187.77,164.3,2370.57,41
1,nguyen_lieu_chinh,GO-NL-024-001,Gỗ hương Lào cỡ nhỏ #1,m3,1030.96,82.48,72.17,1041.27,47
1,nguyen_lieu_chinh,GO-NL-010-001,Gỗ sồi Nga cỡ lớn #1,m3,3643.95,291.52,255.08,3680.39,101
1,nguyen_lieu_chinh,GO-NL-005-001,Gỗ óc chó Mỹ cỡ trung #1,m3,682.69,54.61,47.79,689.51,46
1,nguyen_lieu_chinh,GO-NL-029-001,Gỗ thông ghép thanh cỡ trung #1,m3,553.34,44.27,38.73,558.88,75
1,nguyen_lieu_chinh,GO-NL-013-002,Gỗ gõ đỏ Nam Phi dày 20mm #2,m3,2423.44,193.88,169.64,2447.68,46
1,nguyen_lieu_chinh,GO-NL-018-002,Gỗ gõ đỏ Nam Phi cỡ nhỏ #2,m3,180.61,14.45,12.64,182.42,114
1,nguyen_lieu_chinh,GO-NL-001-002,Gỗ óc chó Mỹ dày 20mm #2,m3,2274.6,181.97,159.22,2297.35,77
1,nguyen_lieu_chinh,GO-NL-032-002,Gỗ xoan đào Gia Lai dày 30mm #2,m3,2489.07,199.13,174.23,2513.97,53
1,nguyen_lieu_chinh,GO-NL-022-002,Gỗ hương Lào cỡ lớn #2,m3,3155.33,252.43,220.87,3186.89,90
1,nguyen_lieu_chinh,GO-NL-026-002,Gỗ thông ghép thanh dày 30mm #2,m3,1847.63,147.81,129.33,1866.11,39
1,nguyen_lieu_chinh,GO-NL-033-002,Gỗ xoan đào Gia Lai dày 50mm #2,m3,2151.51,172.12,150.61,2173.02,77
1,nguyen_lieu_chinh,GO-NL-030-002,Gỗ thông ghép thanh cỡ nhỏ #2,m3,125.24,10.02,8.77,126.49,133
1,nguyen_lieu_chinh,GO-NL-021-002,Gỗ hương Lào dày 50mm #2,m3,1756.68,140.53,122.97,1774.24,114
1,nguyen_lieu_chinh,GO-NL-034-002,Gỗ xoan đào Gia Lai cỡ lớn #2,m3,3145.03,251.6,220.15,3176.48,135
1,nguyen_lieu_chinh,GO-NL-004-002,Gỗ óc chó Mỹ cỡ lớn #2,m3,323.71,25.9,22.66,326.95,124
1,nguyen_lieu_chinh,GO-NL-023-002,Gỗ hương Lào cỡ trung #2,m3,2527.27,202.18,176.91,2552.54,18
1,nguyen_lieu_chinh,GO-NL-009-002,Gỗ sồi Nga dày 50mm #2,m3,1708.34,136.67,119.58,1725.43,111
1,nguyen_lieu_chinh,GO-NL-017-002,Gỗ gõ đỏ Nam Phi cỡ trung #2,m3,421.36,33.71,29.5,425.57,66
1,nguyen_lieu_chinh,GO-NL-011-002,Gỗ sồi Nga cỡ trung #2,m3,1579.23,126.34,110.55,1595.02,75
1,nguyen_lieu_chinh,GO-NL-015-002,Gỗ gõ đỏ Nam Phi dày 50mm #2,m3,391.69,31.34,27.42,395.61,13
1,nguyen_lieu_chinh,GO-NL-007-002,Gỗ sồi Nga dày 20mm #2,m3,1229.88,98.39,86.09,1242.18,135
1,nguyen_lieu_chinh,GO-NL-006-002,Gỗ óc chó Mỹ cỡ nhỏ #2,m3,3327.7,266.22,232.94,3360.98,18
1,nguyen_lieu_chinh,GO-NL-031-002,Gỗ xoan đào Gia Lai dày 20mm #2,m3,624.45,49.96,43.71,630.7,148
1,nguyen_lieu_chinh,GO-NL-003-002,Gỗ óc chó Mỹ dày 50mm #2,m3,4770.3,381.62,333.92,4818.0,100
1,nguyen_lieu_chinh,GO-NL-014-002,Gỗ gõ đỏ Nam Phi dày 30mm #2,m3,2108.42,168.67,147.59,2129.5,21
1,nguyen_lieu_chinh,GO-NL-028-002,Gỗ thông ghép thanh cỡ lớn #2,m3,3259.71,260.78,228.18,3292.31,13
1,nguyen_lieu_chinh,GO-NL-035-002,Gỗ xoan đào Gia Lai cỡ trung #2,m3,1369.2,109.54,95.84,1382.9,137
1,nguyen_lieu_chinh,GO-NL-016-002,Gỗ gõ đỏ Nam Phi cỡ lớn #2,m3,2047.28,163.78,143.31,2067.75,111
1,nguyen_lieu_chinh,GO-NL-020-002,Gỗ hương Lào dày 30mm #2,m3,845.29,67.62,59.17,853.74,67
1,nguyen_lieu_chinh,GO-NL-027-002,Gỗ thông ghép thanh dày 50mm #2,m3,3017.98,241.44,211.26,3048.16,20
1,nguyen_lieu_chinh,GO-NL-012-002,Gỗ sồi Nga cỡ nhỏ #2,m3,1067.2,85.38,74.7,1077.88,43
1,nguyen_lieu_chinh,GO-NL-019-002,Gỗ hương Lào dày 20mm #2,m3,3464.44,277.15,242.51,3499.08,103
1,nguyen_lieu_chinh,GO-NL-002-002,Gỗ óc chó Mỹ dày 30mm #2,m3,2696.26,215.7,188.74,2723.22,93
1,nguyen_lieu_chinh,GO-NL-025-002,Gỗ thông ghép thanh dày 20mm #2,m3,4756.76,380.54,332.97,4804.33,139
1,nguyen_lieu_chinh,GO-NL-008-002,Gỗ sồi Nga dày 30mm #2,m3,2151.51,172.12,150.61,2173.02,46
1,nguyen_lieu_chinh,GO-NL-024-002,Gỗ hương Lào cỡ nhỏ #2,m3,617.17,49.37,43.2,623.34,52
1,nguyen_lieu_chinh,GO-NL-010-002,Gỗ sồi Nga cỡ lớn #2,m3,2190.05,175.2,153.3,2211.95,106
1,nguyen_lieu_chinh,GO-NL-005-002,Gỗ óc chó Mỹ cỡ trung #2,m3,641.13,51.29,44.88,647.54,51
1,nguyen_lieu_chinh,GO-NL-029-002,Gỗ thông ghép thanh cỡ trung #2,m3,269.58,21.57,18.87,272.28,80
1,nguyen_lieu_chinh,GO-NL-013-003,Gỗ gõ đỏ Nam Phi dày 20mm #3,m3,2692.72,215.42,188.49,2719.65,36
1,nguyen_lieu_chinh,GO-NL-018-003,Gỗ gõ đỏ Nam Phi cỡ nhỏ #3,m3,568.92,45.51,39.82,574.61,104
1,nguyen_lieu_chinh,GO-NL-001-003,Gỗ óc chó Mỹ dày 20mm #3,m3,4415.41,353.23,309.08,4459.56,67
1,nguyen_lieu_chinh,GO-NL-032-003,Gỗ xoan đào Gia Lai dày 30mm #3,m3,3180.47,254.44,222.63,3212.28,43
1,nguyen_lieu_chinh,GO-NL-022-003,Gỗ hương Lào cỡ lớn #3,m3,3099.97,248.0,217.0,3130.97,80
1,nguyen_lieu_chinh,GO-NL-026-003,Gỗ thông ghép thanh dày 30mm #3,m3,2078.58,166.29,145.5,2099.37,44
1,nguyen_lieu_chinh,GO-NL-033-003,Gỗ xoan đào Gia Lai dày 50mm #3,m3,1192.18,95.37,83.45,1204.1,82
1,nguyen_lieu_chinh,GO-NL-030-003,Gỗ thông ghép thanh cỡ nhỏ #3,m3,232.27,18.58,16.26,234.59,138
1,nguyen_lieu_chinh,GO-NL-021-003,Gỗ hương Lào dày 50mm #3,m3,1222.04,97.76,85.54,1234.26,119
1,nguyen_lieu_chinh,GO-NL-034-003,Gỗ xoan đào Gia Lai cỡ lớn #3,m3,2489.81,199.19,174.29,2514.71,140
1,nguyen_lieu_chinh,GO-NL-004-003,Gỗ óc chó Mỹ cỡ lớn #3,m3,503.55,40.28,35.25,508.58,129
1,nguyen_lieu_chinh,GO-NL-023-003,Gỗ hương Lào cỡ trung #3,m3,1809.29,144.74,126.65,1827.38,23
1,nguyen_lieu_chinh,GO-NL-009-003,Gỗ sồi Nga dày 50mm #3,m3,1228.22,98.26,85.98,1240.5,116
1,nguyen_lieu_chinh,GO-NL-017-003,Gỗ gõ đỏ Nam Phi cỡ trung #3,m3,874.91,69.99,61.24,883.66,71
1,nguyen_lieu_chinh,GO-NL-011-003,Gỗ sồi Nga cỡ trung #3,m3,1662.35,132.99,116.36,1678.98,80
1,nguyen_lieu_chinh,GO-NL-015-003,Gỗ gõ đỏ Nam Phi dày 50mm #3,m3,419.67,33.57,29.38,423.86,5
1,nguyen_lieu_chinh,GO-NL-007-003,Gỗ sồi Nga dày 20mm #3,m3,2030.28,162.42,142.12,2050.58,125
1,nguyen_lieu_chinh,GO-NL-006-003,Gỗ óc chó Mỹ cỡ nhỏ #3,m3,2571.41,205.71,180.0,2597.12,8
1,nguyen_lieu_chinh,GO-NL-031-003,Gỗ xoan đào Gia Lai dày 20mm #3,m3,651.6,52.13,45.61,658.12,138
1,nguyen_lieu_chinh,GO-NL-003-003,Gỗ óc chó Mỹ dày 50mm #3,m3,2517.66,201.41,176.24,2542.83,90
1,nguyen_lieu_chinh,GO-NL-014-003,Gỗ gõ đỏ Nam Phi dày 30mm #3,m3,3279.76,262.38,229.58,3312.56,26
1,nguyen_lieu_chinh,GO-NL-028-003,Gỗ thông ghép thanh cỡ lớn #3,m3,3889.43,311.15,272.26,3928.32,18
1,nguyen_lieu_chinh,GO-NL-035-003,Gỗ xoan đào Gia Lai cỡ trung #3,m3,1288.65,103.09,90.21,1301.53,142
1,nguyen_lieu_chinh,GO-NL-016-003,Gỗ gõ đỏ Nam Phi cỡ lớn #3,m3,1609.83,128.79,112.69,1625.93,116
1,nguyen_lieu_chinh,GO-NL-020-003,Gỗ hương Lào dày 30mm #3,m3,1388.06,111.04,97.16,1401.94,72
1,nguyen_lieu_chinh,GO-NL-027-003,Gỗ thông ghép thanh dày 50mm #3,m3,1044.68,83.57,73.13,1055.12,25
1,nguyen_lieu_chinh,GO-NL-012-003,Gỗ sồi Nga cỡ nhỏ #3,m3,1174.48,93.96,82.21,1186.23,48
1,nguyen_lieu_chinh,GO-NL-019-003,Gỗ hương Lào dày 20mm #3,m3,3011.7,240.94,210.82,3041.82,108
1,nguyen_lieu_chinh,GO-NL-002-003,Gỗ óc chó Mỹ dày 30mm #3,m3,1934.27,154.74,135.4,1953.61,98
1,nguyen_lieu_chinh,GO-NL-025-003,Gỗ thông ghép thanh dày 20mm #3,m3,2896.74,231.74,202.77,2925.71,144
1,nguyen_lieu_chinh,GO-NL-008-003,Gỗ sồi Nga dày 30mm #3,m3,1825.52,146.04,127.79,1843.77,36
1,nguyen_lieu_chinh,GO-NL-024-003,Gỗ hương Lào cỡ nhỏ #3,m3,736.4,58.91,51.55,743.76,42
1,nguyen_lieu_chinh,GO-NL-010-003,Gỗ sồi Nga cỡ lớn #3,m3,3239.06,259.13,226.73,3271.46,96
1,nguyen_lieu_chinh,GO-NL-005-003,Gỗ óc chó Mỹ cỡ trung #3,m3,1638.45,131.08,114.69,1654.84,41
1,nguyen_lieu_chinh,GO-NL-029-003,Gỗ thông ghép thanh cỡ trung #3,m3,255.39,20.43,17.88,257.94,70
1,nguyen_lieu_chinh,GO-NL-013-004,Gỗ gõ đỏ Nam Phi dày 20mm #4,m3,2019.54,161.56,141.37,2039.73,41
1,nguyen_lieu_chinh,GO-NL-018-004,Gỗ gõ đỏ Nam Phi cỡ nhỏ #4,m3,469.58,37.57,32.87,474.28,109
1,nguyen_lieu_chinh,GO-NL-001-004,Gỗ óc chó Mỹ dày 20mm #4,m3,2843.25,227.46,199.03,2871.68,72
1,nguyen_lieu_chinh,GO-NL-032-004,Gỗ xoan đào Gia Lai dày 30mm #4,m3,2489.07,199.13,174.23,2513.97,48
1,nguyen_lieu_chinh,GO-NL-022-004,Gỗ hương Lào cỡ lớn #4,m3,3505.92,280.47,245.41,3540.98,85
1,nguyen_lieu_chinh,GO-NL-026-004,Gỗ thông ghép thanh dày 30mm #4,m3,3695.26,295.62,258.67,3732.21,49
1,nguyen_lieu_chinh,GO-NL-033-004,Gỗ xoan đào Gia Lai dày 50mm #4,m3,1564.73,125.18,109.53,1580.38,87
1,nguyen_lieu_chinh,GO-NL-030-004,Gỗ thông ghép thanh cỡ nhỏ #4,m3,200.39,16.03,14.03,202.39,143
1,nguyen_lieu_chinh,GO-NL-021-004,Gỗ hương Lào dày 50mm #4,m3,1951.87,156.15,136.63,1971.39,124
1,nguyen_lieu_chinh,GO-NL-034-004,Gỗ xoan đào Gia Lai cỡ lớn #4,m3,4717.54,377.4,330.23,4764.71,145
1,nguyen_lieu_chinh,GO-NL-004-004,Gỗ óc chó Mỹ cỡ lớn #4,m3,485.56,38.85,33.99,490.42,119
1,nguyen_lieu_chinh,GO-NL-023-004,Gỗ hương Lào cỡ trung #4,m3,2297.52,183.8,160.83,2320.49,13
1,nguyen_lieu_chinh,GO-NL-009-004,Gỗ sồi Nga dày 50mm #4,m3,1708.34,136.67,119.58,1725.43,106
1,nguyen_lieu_chinh,GO-NL-017-004,Gỗ gõ đỏ Nam Phi cỡ trung #4,m3,737.38,58.99,51.62,744.75,61
1,nguyen_lieu_chinh,GO-NL-011-004,Gỗ sồi Nga cỡ trung #4,m3,1579.23,126.34,110.55,1595.02,70
1,nguyen_lieu_chinh,GO-NL-015-004,Gỗ gõ đỏ Nam Phi dày 50mm #4,m3,447.64,35.81,31.34,452.11,8
1,nguyen_lieu_chinh,GO-NL-007-004,Gỗ sồi Nga dày 20mm #4,m3,1434.86,114.79,100.44,1449.21,130
1,nguyen_lieu_chinh,GO-NL-006-004,Gỗ óc chó Mỹ cỡ nhỏ #4,m3,3327.7,266.22,232.94,3360.98,13
1,nguyen_lieu_chinh,GO-NL-031-004,Gỗ xoan đào Gia Lai dày 20mm #4,m3,763.21,61.06,53.42,770.85,143
1,nguyen_lieu_chinh,GO-NL-003-004,Gỗ óc chó Mỹ dày 50mm #4,m3,1987.62,159.01,139.13,2007.5,95
1,nguyen_lieu_chinh,GO-NL-014-004,Gỗ gõ đỏ Nam Phi dày 30mm #4,m3,1581.31,126.5,110.69,1597.12,31
1,nguyen_lieu_chinh,GO-NL-028-004,Gỗ thông ghép thanh cỡ lớn #4,m3,2074.36,165.95,145.21,2095.1,23
1,nguyen_lieu_chinh,GO-NL-035-004,Gỗ xoan đào Gia Lai cỡ trung #4,m3,871.31,69.7,60.99,880.02,147
1,nguyen_lieu_chinh,GO-NL-016-004,Gỗ gõ đỏ Nam Phi cỡ lớn #4,m3,1732.31,138.58,121.26,1749.63,121
1,nguyen_lieu_chinh,GO-NL-020-004,Gỗ hương Lào dày 30mm #4,m3,845.29,67.62,59.17,853.74,77
1,nguyen_lieu_chinh,GO-NL-027-004,Gỗ thông ghép thanh dày 50mm #4,m3,2321.52,185.72,162.51,2344.73,15
1,nguyen_lieu_chinh,GO-NL-012-004,Gỗ sồi Nga cỡ nhỏ #4,m3,711.47,56.92,49.8,718.59,38
1,nguyen_lieu_chinh,GO-NL-019-004,Gỗ hương Lào dày 20mm #4,m3,4763.6,381.09,333.45,4811.24,98
1,nguyen_lieu_chinh,GO-NL-002-004,Gỗ óc chó Mỹ dày 30mm #4,m3,2246.88,179.75,157.28,2269.35,88
1,nguyen_lieu_chinh,GO-NL-025-004,Gỗ thông ghép thanh dày 20mm #4,m3,3659.05,292.72,256.13,3695.64,134
1,nguyen_lieu_chinh,GO-NL-008-004,Gỗ sồi Nga dày 30mm #4,m3,2151.51,172.12,150.61,2173.02,41
1,nguyen_lieu_chinh,GO-NL-024-004,Gỗ hương Lào cỡ nhỏ #4,m3,561.07,44.89,39.27,566.69,47
1,nguyen_lieu_chinh,GO-NL-010-004,Gỗ sồi Nga cỡ lớn #4,m3,3128.64,250.29,219.0,3159.93,101
1,nguyen_lieu_chinh,GO-NL-005-004,Gỗ óc chó Mỹ cỡ trung #4,m3,1389.12,111.13,97.24,1403.01,46
1,nguyen_lieu_chinh,GO-NL-029-004,Gỗ thông ghép thanh cỡ trung #4,m3,303.27,24.26,21.23,306.3,75
1,nguyen_lieu_chinh,GO-NL-013-005,Gỗ gõ đỏ Nam Phi dày 20mm #5,m3,3769.8,301.58,263.89,3807.49,46
1,nguyen_lieu_chinh,GO-NL-018-005,Gỗ gõ đỏ Nam Phi cỡ nhỏ #5,m3,616.32,49.31,43.14,622.49,114
1,nguyen_lieu_chinh,GO-NL-001-005,Gỗ óc chó Mỹ dày 20mm #5,m3,3311.55,264.92,231.81,3344.66,77
1,nguyen_lieu_chinh,GO-NL-032-005,Gỗ xoan đào Gia Lai dày 30mm #5,m3,1987.8,159.02,139.15,2007.67,53
1,nguyen_lieu_chinh,GO-NL-022-005,Gỗ hương Lào cỡ lớn #5,m3,3542.83,283.43,248.0,3578.26,90
1,nguyen_lieu_chinh,GO-NL-026-005,Gỗ thông ghép thanh dày 30mm #5,m3,1154.77,92.38,80.83,1166.32,39
1,nguyen_lieu_chinh,GO-NL-033-005,Gỗ xoan đào Gia Lai dày 50mm #5,m3,1639.24,131.14,114.75,1655.63,77
1,nguyen_lieu_chinh,GO-NL-030-005,Gỗ thông ghép thanh cỡ nhỏ #5,m3,135.49,10.84,9.48,136.85,133
1,nguyen_lieu_chinh,GO-NL-021-005,Gỗ hương Lào dày 50mm #5,m3,1069.29,85.54,74.85,1079.98,114
1,nguyen_lieu_chinh,GO-NL-034-005,Gỗ xoan đào Gia Lai cỡ lớn #5,m3,2178.59,174.29,152.5,2200.38,135
1,nguyen_lieu_chinh,GO-NL-004-005,Gỗ óc chó Mỹ cỡ lớn #5,m3,719.35,57.55,50.35,726.55,124
1,nguyen_lieu_chinh,GO-NL-023-005,Gỗ hương Lào cỡ trung #5,m3,2110.84,168.87,147.76,2131.95,18
1,nguyen_lieu_chinh,GO-NL-009-005,Gỗ sồi Nga dày 50mm #5,m3,3439.0,275.12,240.73,3473.39,111
1,nguyen_lieu_chinh,GO-NL-017-005,Gỗ gõ đỏ Nam Phi cỡ trung #5,m3,874.91,69.99,61.24,883.66,66
1,nguyen_lieu_chinh,GO-NL-011-005,Gỗ sồi Nga cỡ trung #5,m3,1994.81,159.59,139.64,2014.76,75
1,nguyen_lieu_chinh,GO-NL-015-005,Gỗ gõ đỏ Nam Phi dày 50mm #5,m3,587.53,47.0,41.13,593.4,13
1,nguyen_lieu_chinh,GO-NL-007-005,Gỗ sồi Nga dày 20mm #5,m3,780.88,62.47,54.66,788.69,135
1,nguyen_lieu_chinh,GO-NL-006-005,Gỗ óc chó Mỹ cỡ nhỏ #5,m3,3214.26,257.14,225.0,3246.4,18
1,nguyen_lieu_chinh,GO-NL-031-005,Gỗ xoan đào Gia Lai dày 20mm #5,m3,705.9,56.47,49.41,712.96,148
1,nguyen_lieu_chinh,GO-NL-003-005,Gỗ óc chó Mỹ dày 50mm #5,m3,2517.66,201.41,176.24,2542.83,100
1,nguyen_lieu_chinh,GO-NL-014-005,Gỗ gõ đỏ Nam Phi dày 30mm #5,m3,3045.49,243.64,213.18,3075.95,21
1,nguyen_lieu_chinh,GO-NL-028-005,Gỗ thông ghép thanh cỡ lớn #5,m3,3111.54,248.92,217.81,3142.65,13
1,nguyen_lieu_chinh,GO-NL-035-005,Gỗ xoan đào Gia Lai cỡ trung #5,m3,1288.65,103.09,90.21,1301.53,137
