order_code,factory_name,workshop_name,product_name,qty_target
LSX-TPB-1030,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Sofa nỉ văng tân cổ điển SFN,200
LSX-TPC-1031,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn console trang trí BCN,200
LSX-TPC-1032,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế tựa lưng cong Luxury GLC,100
LSX-TPA-1033,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Hộp đựng khăn giấy gỗ óc chó HAK,200
LSX-TPC-1034,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn cafe gỗ thông pallet BCF,100
LSX-TPC-1035,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn làm việc thông minh ATLA,200
LSX-TPB-1036,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn trang điểm gương led BTD,200
LSX-TPC-1037,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Đôn sofa bọc vải tròn DSF,200
LSX-TPA-1038,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,300
LSX-TPC-1039,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa đơn bọc vải nhung SFD,500
LSX-TPB-1040,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ giày thông minh 3 tầng TG,100
LSX-TPC-1041,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Sofa đơn bọc vải nhung SFD,100
LSX-TPA-1042,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Thảm lót sàn dệt tay họa tiết TLS,500
LSX-TPA-1043,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Bàn trà sồi chân sắt FOLD,500
LSX-TPB-1044,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Tủ tài liệu văn phòng nhiều ngăn TTL,100
LSX-TPB-1045,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn ăn tròn xoay Mộc Gia,500
LSX-TPC-1046,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ rượu âm tường gỗ mun TRA,500
LSX-TPB-1047,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế làm việc công thái học GLV,200
LSX-TPB-1048,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Bàn trà sồi chân sắt FOLD,200
LSX-TPA-1049,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Ghế bập bênh thư giãn GBB,300
LSX-TPB-1050,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Bàn ăn gỗ sồi Mỹ ACVD,100
LSX-TPA-1051,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Ghế bập bênh thư giãn GBB,200
LSX-TPA-1052,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Sofa tình yêu da bóng SFY,200
LSX-TPA-1053,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế tựa lưng cong Luxury GLC,100
LSX-TPB-1054,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,300
LSX-TPA-1055,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Thảm lót sàn dệt tay họa tiết TLS,100
LSX-TPC-1056,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Sofa băng da bò thật Luxury SFB,200
LSX-TPC-1057,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Ghế đôn tròn gỗ tự nhiên GDO,300
LSX-TPA-1058,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Thảm lót sàn dệt tay họa tiết TLS,300
LSX-TPA-1059,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế ăn mộc gỗ cao su GAC,300
LSX-TPA-1060,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn họp lớn văn phòng BHP,500
LSX-TPC-1061,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Ghế làm việc công thái học GLV,200
LSX-TPA-1062,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế lười hạt xốp cao cấp GLH,300
LSX-TPB-1063,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế băng dài phòng chờ GBD,200
LSX-TPC-1064,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Đôn sofa bọc vải tròn DSF,500
LSX-TPA-1065,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế lười hạt xốp cao cấp GLH,300
LSX-TPA-1066,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Đèn đứng đọc sách vintage DDS,500
LSX-TPA-1067,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Đèn ngủ thân gỗ đế tròn DNG,200
LSX-TPB-1068,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Sofa băng da bò thật Luxury SFB,200
LSX-TPA-1069,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Gương soi toàn thân viền gỗ GST,500
LSX-TPB-1070,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Ghế bar chân sắt đệm gỗ GBR,100
LSX-TPB-1071,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế đôn tròn gỗ tự nhiên GDO,500
LSX-TPB-1072,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Sofa băng da bò thật Luxury SFB,200
LSX-TPB-1073,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Bàn ăn tròn xoay Mộc Gia,300
LSX-TPB-1074,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Thảm lót sàn dệt tay họa tiết TLS,500
LSX-TPC-1075,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Đồng hồ gỗ treo tường nghệ thuật DHG,200
LSX-TPA-1076,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn ăn gỗ sồi Mỹ ACVD,300
LSX-TPC-1077,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Đèn ngủ thân gỗ đế tròn DNG,500
LSX-TPB-1078,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Ghế xoay văn phòng có tựa GXV,500
LSX-TPA-1079,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Ghế đôn tròn gỗ tự nhiên GDO,300
LSX-TPB-1080,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Sofa băng da bò thật Luxury SFB,100
LSX-TPA-1081,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn trà Nhật bệt gỗ xoan BTN,300
LSX-TPB-1082,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ giày thông minh 3 tầng TG,500
LSX-TPC-1083,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa đơn bọc vải nhung SFD,100
LSX-TPB-1084,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ treo tường lục giác gỗ KTG,200
LSX-TPB-1085,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa nỉ văng tân cổ điển SFN,100
LSX-TPB-1086,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế làm việc công thái học GLV,100
LSX-TPB-1087,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Ghế bập bênh thư giãn GBB,500
LSX-TPB-1088,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Ghế làm việc công thái học GLV,200
LSX-TPC-1089,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn họp lớn văn phòng BHP,200
LSX-TPB-1090,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Kệ treo tường lục giác gỗ KTG,300
LSX-TPC-1091,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Sofa băng da bò thật Luxury SFB,300
LSX-TPC-1092,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Đồng hồ gỗ treo tường nghệ thuật DHG,300
LSX-TPB-1093,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa nỉ văng tân cổ điển SFN,300
LSX-TPA-1094,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn ăn gỗ sồi Mỹ ACVD,200
LSX-TPC-1095,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn trà sồi chân sắt FOLD,300
LSX-TPC-1096,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế đôn tròn gỗ tự nhiên GDO,500
LSX-TPC-1097,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Kệ cắm hoa decor phòng khách KCH,500
LSX-TPA-1098,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Đồng hồ gỗ treo tường nghệ thuật DHG,200
LSX-TPC-1099,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Bàn trà Nhật bệt gỗ xoan BTN,500
LSX-TPB-1100,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa tình yêu da bóng SFY,100
LSX-TPC-1101,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Tranh canvas treo phòng khách TCV,300
LSX-TPB-1102,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ quần áo 4 cánh gỗ thông TQA,500
LSX-TPC-1103,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn trang điểm gương led BTD,300
LSX-TPA-1104,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Bàn trà Nhật bệt gỗ xoan BTN,200
LSX-TPC-1105,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Đèn ngủ thân gỗ đế tròn DNG,500
LSX-TPC-1106,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn ăn tròn xoay Mộc Gia,200
LSX-TPA-1107,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Tủ tài liệu văn phòng nhiều ngăn TTL,200
LSX-TPA-1108,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Giá treo quần áo chữ A GTR,200
LSX-TPA-1109,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Bàn ăn tròn xoay Mộc Gia,200
LSX-TPA-1110,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế ăn mộc gỗ cao su GAC,100
LSX-TPC-1111,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa giường thông minh gấp gọn SFG,500
LSX-TPB-1112,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Tranh canvas treo phòng khách TCV,300
LSX-TPC-1113,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Sofa bench đệm giả da SFB,200
LSX-TPB-1114,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa phòng khách gỗ sồi SFK,500
LSX-TPC-1115,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ trang trí khung sắt đợt gỗ KTT,100
LSX-TPA-1116,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Sofa bench đệm giả da SFB,200
LSX-TPB-1117,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Kệ tivi phòng khách sồi KTV,100
LSX-TPB-1118,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn cafe gỗ thông pallet BCF,200
LSX-TPB-1119,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ bếp gỗ công nghiệp cao cấp TBP,300
LSX-TPB-1120,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Sofa đơn bọc vải nhung SFD,100
LSX-TPB-1121,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Sofa băng da bò thật Luxury SFB,300
LSX-TPC-1122,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế băng dài phòng chờ GBD,100
LSX-TPA-1123,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn console trang trí BCN,200
LSX-TPA-1124,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế băng dài phòng chờ GBD,300
LSX-TPC-1125,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Kệ trang trí khung sắt đợt gỗ KTT,300
LSX-TPC-1126,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,200
LSX-TPB-1127,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Sofa góc nỉ Cozy L-Shape SFG,300
LSX-TPA-1128,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Kệ treo tường lục giác gỗ KTG,500
LSX-TPA-1129,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Bàn làm việc thông minh ATLA,200
LSX-TPB-1130,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Tủ rượu âm tường gỗ mun TRA,300
LSX-TPB-1131,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế lười hạt xốp cao cấp GLH,200
LSX-TPA-1132,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Thảm lót sàn dệt tay họa tiết TLS,100
LSX-TPA-1133,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ bếp gỗ công nghiệp cao cấp TBP,300
LSX-TPB-1134,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế xếp gọn dã ngoại GXP,300
LSX-TPA-1135,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế xoay văn phòng có tựa GXV,200
LSX-TPC-1136,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Kệ cắm hoa decor phòng khách KCH,500
LSX-TPA-1137,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Kệ trang trí khung sắt đợt gỗ KTT,100
LSX-TPC-1138,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế đôn tròn gỗ tự nhiên GDO,300
LSX-TPC-1139,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn trang điểm gương led BTD,100
LSX-TPA-1140,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế ăn Windsor cổ điển GWD,300
LSX-TPB-1141,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tranh canvas treo phòng khách TCV,200
LSX-TPC-1142,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế đôn tròn gỗ tự nhiên GDO,100
LSX-TPB-1143,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Bàn ăn gỗ sồi Mỹ ACVD,100
LSX-TPA-1144,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 2,Bàn làm việc thông minh ATLA,200
LSX-TPB-1145,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,500
LSX-TPC-1146,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn làm việc thông minh ATLA,500
LSX-TPC-1147,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Bàn học sinh chống gù BHS,100
LSX-TPC-1148,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn trang điểm gương led BTD,300
LSX-TPA-1149,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn họp lớn văn phòng BHP,300
LSX-TPC-1150,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế bập bênh thư giãn GBB,100
LSX-TPB-1151,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Tủ rượu âm tường gỗ mun TRA,100
LSX-TPA-1152,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,500
LSX-TPC-1153,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn ăn gỗ sồi Mỹ ACVD,100
LSX-TPA-1154,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn làm việc thông minh ATLA,300
LSX-TPB-1155,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Khay gỗ đựng trà bánh đa năng KHG,300
LSX-TPA-1156,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn ăn gỗ sồi Mỹ ACVD,500
LSX-TPC-1157,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa đơn bọc vải nhung SFD,200
LSX-TPA-1158,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Tủ tài liệu văn phòng nhiều ngăn TTL,100
LSX-TPB-1159,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Ghế bar chân sắt đệm gỗ GBR,300
LSX-TPA-1160,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Tủ đầu giường 2 ngăn kéo TDG,300
LSX-TPB-1161,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ đầu giường 2 ngăn kéo TDG,500
LSX-TPC-1162,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Kệ sách đứng gỗ cao su KSD,100
LSX-TPB-1163,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Sofa góc nỉ Cozy L-Shape SFG,300
LSX-TPA-1164,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Ghế xếp gọn dã ngoại GXP,200
LSX-TPA-1165,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Kệ trang trí khung sắt đợt gỗ KTT,100
LSX-TPB-1166,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế ăn mộc gỗ cao su GAC,100
LSX-TPB-1167,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 2,Bàn học sinh chống gù BHS,100
LSX-TPC-1168,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn làm việc thông minh ATLA,300
LSX-TPC-1169,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Ghế lười hạt xốp cao cấp GLH,500
LSX-TPA-1170,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Bàn làm việc thông minh ATLA,200
LSX-TPB-1171,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Ghế lười hạt xốp cao cấp GLH,200
LSX-TPA-1172,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn ăn gỗ sồi Mỹ ACVD,100
LSX-TPC-1173,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Sofa tình yêu da bóng SFY,100
LSX-TPC-1174,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Kệ treo tường lục giác gỗ KTG,500
LSX-TPC-1175,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Tủ quần áo 4 cánh gỗ thông TQA,100
LSX-TPA-1176,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Tủ bếp gỗ công nghiệp cao cấp TBP,100
LSX-TPA-1177,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Sofa nỉ văng tân cổ điển SFN,300
LSX-TPA-1178,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Đồng hồ gỗ treo tường nghệ thuật DHG,500
LSX-TPC-1179,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Tủ tài liệu văn phòng nhiều ngăn TTL,200
LSX-TPA-1180,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Hộp đựng khăn giấy gỗ óc chó HAK,300
LSX-TPB-1181,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 1,Kệ cắm hoa decor phòng khách KCH,300
LSX-TPA-1182,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Hộp đựng khăn giấy gỗ óc chó HAK,500
LSX-TPB-1183,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Bàn cafe gỗ thông pallet BCF,200
LSX-TPB-1184,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Ghế bar chân sắt đệm gỗ GBR,200
LSX-TPA-1185,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Tủ tài liệu văn phòng nhiều ngăn TTL,300
LSX-TPA-1186,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Kệ treo tường lục giác gỗ KTG,300
LSX-TPA-1187,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Tủ bếp gỗ công nghiệp cao cấp TBP,200
LSX-TPA-1188,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Sofa phòng khách gỗ sồi SFK,200
LSX-TPC-1189,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 3,Đôn sofa bọc vải tròn DSF,200
LSX-TPB-1190,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Bàn làm việc thông minh ATLA,100
LSX-TPB-1191,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Bàn họp lớn văn phòng BHP,300
LSX-TPB-1192,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 3,Ghế xếp gọn dã ngoại GXP,500
LSX-TPA-1193,Nhà máy NHÀ MÁY GIA CÔNG C,Phân xưởng 3,Ghế bập bênh thư giãn GBB,100
LSX-TPC-1194,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Đèn đứng đọc sách vintage DDS,100
LSX-TPB-1195,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Tủ đầu giường 2 ngăn kéo TDG,100
LSX-TPC-1196,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 2,Ghế tựa lưng cong Luxury GLC,500
LSX-TPC-1197,Nhà máy NHÀ MÁY CHẾ BIẾN B,Phân xưởng 1,Tủ đầu giường 2 ngăn kéo TDG,100
LSX-TPC-1198,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Bàn trà Nhật bệt gỗ xoan BTN,200
LSX-TPA-1199,Nhà máy NHÀ MÁY THÀNH PHẨM A,Phân xưởng 1,Hộp đựng khăn giấy gỗ óc chó HAK,200
