log_id,order_code,date,stage_name,qty_actual,defect_qty,hours_run
LOG-000072,LSX-TPA-1013,2026-01-07,Chà nhám A,205,2,8.8
LOG-000251,LSX-TPB-1045,2026-01-07,Sơn lót C,511,9,8.0
LOG-000295,LSX-TPA-1053,2026-01-07,Sơn lót C,104,2,8.1
LOG-000321,LSX-TPA-1058,2026-01-07,Cắt phôi B,304,6,7.0
LOG-000376,LSX-TPA-1067,2026-01-07,Sơn lót A,191,5,9.0
LOG-000444,LSX-TPA-1079,2026-01-07,Sơn lót A,312,0,9.3
LOG-000486,LSX-TPB-1087,2026-01-07,Cắt phôi C,499,7,7.0
LOG-000555,LSX-TPC-1099,2026-01-07,Lắp ráp A,503,7,8.9
LOG-000611,LSX-TPA-1109,2026-01-07,Cắt phôi A,191,3,9.2
LOG-000669,LSX-TPB-1119,2026-01-07,Cắt phôi C,308,1,7.6
LOG-000681,LSX-TPB-1121,2026-01-07,Chà nhám B,293,6,6.4
LOG-000737,LSX-TPB-1131,2026-01-07,Sơn lót C,204,4,9.4
LOG-000743,LSX-TPA-1132,2026-01-07,Sơn phủ C,101,2,10.0
LOG-000767,LSX-TPA-1137,2026-01-07,Cắt phôi C,102,2,7.8
LOG-000778,LSX-TPC-1139,2026-01-07,Chà nhám B,96,1,9.3
LOG-000838,LSX-TPC-1150,2026-01-07,Cắt phôi A,96,2,9.8
LOG-000916,LSX-TPA-1164,2026-01-07,Lắp ráp B,208,6,10.0
LOG-001042,LSX-TPA-1186,2026-01-07,Sơn B,292,2,6.5
LOG-001081,LSX-TPA-1193,2026-01-07,Lắp ráp C,102,2,7.5
LOG-001116,LSX-TPA-1199,2026-01-07,Chà nhám A,193,3,7.6
LOG-001178,LSX-TPC-1210,2026-01-07,Chà nhám B,103,1,8.0
LOG-001189,LSX-TPA-1212,2026-01-07,Cắt phôi A,203,4,6.1
LOG-001230,LSX-TPC-1219,2026-01-07,Cắt phôi B,498,12,7.0
LOG-001243,LSX-TPC-1221,2026-01-07,Lắp ráp C,208,3,7.8
LOG-001287,LSX-TPB-1229,2026-01-07,Chà nhám B,311,7,8.4
LOG-001325,LSX-TPA-1235,2026-01-07,Sơn phủ C,96,1,9.9
LOG-001346,LSX-TPC-1239,2026-01-07,Lắp ráp B,96,1,8.7
LOG-001473,LSX-TPA-1261,2026-01-07,Sơn phủ C,191,4,6.2
LOG-001476,LSX-TPC-1262,2026-01-07,Chà nhám A,297,8,6.4
LOG-001487,LSX-TPA-1264,2026-01-07,Cắt phôi B,99,1,9.5
LOG-001553,LSX-TPB-1275,2026-01-07,Sơn B,286,2,7.7
LOG-001579,LSX-TPC-1280,2026-01-07,Cắt phôi A,517,5,8.8
LOG-001621,LSX-TPB-1287,2026-01-07,Chà nhám B,492,13,8.5
LOG-001627,LSX-TPB-1288,2026-01-07,Lắp ráp C,200,3,6.5
LOG-001677,LSX-TPC-1297,2026-01-07,Cắt phôi C,487,7,9.7
LOG-001729,LSX-TPB-1306,2026-01-07,Cắt phôi B,501,3,6.3
LOG-001789,LSX-TPA-1317,2026-01-07,Cắt phôi C,520,3,7.8
LOG-001826,LSX-TPB-1323,2026-01-07,Sơn phủ C,296,0,8.8
LOG-001898,LSX-TPB-1336,2026-01-07,Sơn lót A,199,2,7.4
LOG-001931,LSX-TPC-1342,2026-01-07,Chà nhám A,506,14,7.3
LOG-001943,LSX-TPA-1344,2026-01-07,Lắp ráp B,209,5,7.5
LOG-001947,LSX-TPC-1345,2026-01-07,Cắt phôi C,294,3,9.5
LOG-002083,LSX-TPA-1369,2026-01-07,Lắp ráp C,308,4,7.7
LOG-002155,LSX-TPB-1382,2026-01-07,Sơn B,203,3,8.2
LOG-002182,LSX-TPA-1387,2026-01-07,Lắp ráp C,307,6,9.3
LOG-002195,LSX-TPC-1389,2026-01-07,Sơn lót A,286,0,9.1
LOG-002205,LSX-TPA-1391,2026-01-07,Sơn lót C,199,3,6.7
LOG-002262,LSX-TPA-1401,2026-01-07,Sơn lót C,206,0,6.7
LOG-002268,LSX-TPB-1402,2026-01-07,Sơn phủ C,104,2,9.0
LOG-002294,LSX-TPB-1407,2026-01-07,Lắp ráp A,195,5,6.9
LOG-002336,LSX-TPB-1414,2026-01-07,Sơn B,99,1,9.6
LOG-002352,LSX-TPA-1417,2026-01-07,Lắp ráp C,295,7,9.6
LOG-000036,LSX-TPB-1007,2026-01-08,Cắt phôi B,486,5,6.3
LOG-000089,LSX-TPC-1016,2026-01-08,Lắp ráp C,313,8,7.4
LOG-000096,LSX-TPC-1017,2026-01-08,Sơn lót A,103,2,7.1
LOG-000215,LSX-TPC-1039,2026-01-08,Cắt phôi B,514,14,8.4
LOG-000226,LSX-TPC-1041,2026-01-08,Cắt phôi A,98,2,9.3
LOG-000336,LSX-TPA-1060,2026-01-08,Sơn B,519,8,7.7
LOG-000362,LSX-TPA-1065,2026-01-08,Cắt phôi C,310,0,8.2
LOG-000409,LSX-TPB-1073,2026-01-08,Sơn lót C,299,6,7.3
LOG-000437,LSX-TPB-1078,2026-01-08,Lắp ráp B,508,1,6.7
LOG-000449,LSX-TPB-1080,2026-01-08,Sơn lót C,99,1,7.9
LOG-000500,LSX-TPC-1089,2026-01-08,Sơn B,193,3,9.6
LOG-000526,LSX-TPA-1094,2026-01-08,Chà nhám B,198,2,9.4
LOG-000533,LSX-TPC-1095,2026-01-08,Sơn lót C,303,7,8.2
LOG-000565,LSX-TPC-1101,2026-01-08,Cắt phôi C,295,3,9.6
LOG-000596,LSX-TPC-1106,2026-01-08,Sơn B,206,0,9.6
LOG-000607,LSX-TPA-1108,2026-01-08,Lắp ráp A,203,5,7.6
LOG-000688,LSX-TPC-1122,2026-01-08,Sơn lót C,99,0,7.6
LOG-000699,LSX-TPA-1124,2026-01-08,Sơn phủ C,292,7,8.8
LOG-000701,LSX-TPC-1125,2026-01-08,Cắt phôi A,305,0,9.4
LOG-000707,LSX-TPC-1126,2026-01-08,Cắt phôi C,190,0,7.5
LOG-000765,LSX-TPC-1136,2026-01-08,Sơn phủ C,489,13,8.2
LOG-000801,LSX-TPB-1143,2026-01-08,Lắp ráp A,99,2,8.7
LOG-000863,LSX-TPA-1154,2026-01-08,Sơn lót C,299,5,7.2
LOG-000872,LSX-TPA-1156,2026-01-08,Cắt phôi B,507,5,6.1
LOG-000883,LSX-TPA-1158,2026-01-08,Cắt phôi C,104,0,9.5
LOG-000893,LSX-TPA-1160,2026-01-08,Cắt phôi B,286,8,6.9
LOG-000926,LSX-TPB-1166,2026-01-08,Cắt phôi A,101,1,10.0
LOG-000961,LSX-TPA-1172,2026-01-08,Lắp ráp C,102,1,6.9
LOG-000967,LSX-TPC-1173,2026-01-08,Lắp ráp B,99,1,7.0
LOG-001045,LSX-TPA-1187,2026-01-08,Cắt phôi B,199,2,8.2
LOG-001071,LSX-TPB-1191,2026-01-08,Sơn lót C,297,4,9.7
LOG-001088,LSX-TPC-1194,2026-01-08,Sơn lót A,100,0,9.5
LOG-001121,LSX-TPB-1200,2026-01-08,Cắt phôi A,208,4,7.7
LOG-001216,LSX-TPB-1216,2026-01-08,Sơn lót A,207,1,9.4
LOG-001271,LSX-TPB-1226,2026-01-08,Cắt phôi C,497,12,6.9
LOG-001461,LSX-TPA-1259,2026-01-08,Sơn B,199,0,9.4
LOG-001510,LSX-TPC-1268,2026-01-08,Cắt phôi A,523,13,8.9
LOG-001533,LSX-TPB-1272,2026-01-08,Cắt phôi C,99,2,9.0
LOG-001540,LSX-TPA-1273,2026-01-08,Lắp ráp B,518,9,6.2
LOG-001598,LSX-TPA-1283,2026-01-08,Lắp ráp A,489,0,8.5
LOG-001661,LSX-TPC-1294,2026-01-08,Lắp ráp C,207,1,7.0
LOG-001684,LSX-TPA-1298,2026-01-08,Lắp ráp B,312,2,6.7
LOG-001713,LSX-TPA-1303,2026-01-08,Lắp ráp B,99,0,7.6
LOG-001777,LSX-TPB-1314,2026-01-08,Sơn phủ C,312,9,9.5
LOG-001868,LSX-TPB-1331,2026-01-08,Lắp ráp C,99,0,7.9
LOG-001880,LSX-TPB-1333,2026-01-08,Sơn lót C,201,3,6.8
LOG-001885,LSX-TPC-1334,2026-01-08,Lắp ráp A,206,0,8.9
LOG-001915,LSX-TPA-1339,2026-01-08,Sơn lót A,307,5,9.1
LOG-001919,LSX-TPB-1340,2026-01-08,Chà nhám A,103,1,7.6
LOG-001958,LSX-TPA-1347,2026-01-08,Cắt phôi C,487,5,7.9
LOG-002061,LSX-TPA-1365,2026-01-08,Sơn B,96,1,9.3
LOG-002078,LSX-TPC-1368,2026-01-08,Lắp ráp A,478,4,7.5
LOG-002104,LSX-TPA-1373,2026-01-08,Lắp ráp C,205,5,9.2
LOG-002142,LSX-TPC-1380,2026-01-08,Cắt phôi C,312,2,8.8
LOG-002150,LSX-TPB-1381,2026-01-08,Sơn phủ C,98,2,7.7
LOG-002216,LSX-TPA-1393,2026-01-08,Lắp ráp A,100,2,8.3
LOG-002272,LSX-TPB-1403,2026-01-08,Lắp ráp B,482,13,6.2
LOG-002300,LSX-TPB-1408,2026-01-08,Lắp ráp A,499,12,8.2
LOG-002342,LSX-TPC-1415,2026-01-08,Sơn lót A,301,7,7.4
LOG-002348,LSX-TPB-1416,2026-01-08,Sơn B,480,4,6.8
LOG-002364,LSX-TPB-1419,2026-01-08,Lắp ráp A,523,10,8.4
LOG-002370,LSX-TPA-1420,2026-01-08,Lắp ráp B,201,4,9.4
LOG-002380,LSX-TPB-1422,2026-01-08,Chà nhám B,95,2,7.2
LOG-000018,LSX-TPC-1004,2026-01-09,Cắt phôi A,489,9,9.0
LOG-000073,LSX-TPA-1013,2026-01-09,Lắp ráp A,206,1,8.4
LOG-000104,LSX-TPC-1019,2026-01-09,Cắt phôi C,513,1,9.3
LOG-000139,LSX-TPB-1025,2026-01-09,Cắt phôi A,297,2,7.7
LOG-000178,LSX-TPC-1032,2026-01-09,Cắt phôi C,102,2,9.5
LOG-000252,LSX-TPB-1045,2026-01-09,Sơn phủ C,476,13,6.6
LOG-000281,LSX-TPA-1051,2026-01-09,Cắt phôi B,201,2,7.7
LOG-000296,LSX-TPA-1053,2026-01-09,Sơn phủ C,101,1,6.2
LOG-000322,LSX-TPA-1058,2026-01-09,Chà nhám B,299,8,7.0
LOG-000377,LSX-TPA-1067,2026-01-09,Sơn phủ A,195,1,7.5
LOG-000445,LSX-TPA-1079,2026-01-09,Sơn phủ A,295,5,7.2
LOG-000487,LSX-TPB-1087,2026-01-09,Lắp ráp C,489,10,6.7
LOG-000556,LSX-TPC-1099,2026-01-09,Sơn lót A,476,5,8.7
LOG-000612,LSX-TPA-1109,2026-01-09,Chà nhám A,207,0,9.0
LOG-000623,LSX-TPC-1111,2026-01-09,Cắt phôi C,480,1,9.1
LOG-000670,LSX-TPB-1119,2026-01-09,Lắp ráp C,289,7,10.0
LOG-000682,LSX-TPB-1121,2026-01-09,Lắp ráp B,300,5,8.9
LOG-000738,LSX-TPB-1131,2026-01-09,Sơn phủ C,205,3,7.4
LOG-000744,LSX-TPA-1132,2026-01-09,Đóng gói C,101,1,6.3
LOG-000750,LSX-TPB-1134,2026-01-09,Cắt phôi A,313,2,9.1
LOG-000768,LSX-TPA-1137,2026-01-09,Lắp ráp C,98,0,10.0
LOG-000779,LSX-TPC-1139,2026-01-09,Lắp ráp B,95,1,9.8
LOG-000826,LSX-TPC-1148,2026-01-09,Cắt phôi B,294,0,9.8
LOG-000839,LSX-TPC-1150,2026-01-09,Chà nhám A,101,2,9.5
LOG-000855,LSX-TPC-1153,2026-01-09,Cắt phôi B,103,0,9.6
LOG-000878,LSX-TPC-1157,2026-01-09,Cắt phôi C,203,4,7.2
LOG-000917,LSX-TPA-1164,2026-01-09,Sơn B,199,5,8.9
LOG-000943,LSX-TPC-1169,2026-01-09,Cắt phôi A,492,8,7.1
LOG-000994,LSX-TPA-1178,2026-01-09,Cắt phôi B,507,12,9.0
LOG-001043,LSX-TPA-1186,2026-01-09,Lắp phụ kiện B,298,6,7.5
LOG-001082,LSX-TPA-1193,2026-01-09,Sơn lót C,101,1,6.3
LOG-001097,LSX-TPC-1196,2026-01-09,Cắt phôi B,524,5,8.4
LOG-001117,LSX-TPA-1199,2026-01-09,Lắp ráp A,202,0,8.1
LOG-001179,LSX-TPC-1210,2026-01-09,Lắp ráp B,98,1,9.1
LOG-001190,LSX-TPA-1212,2026-01-09,Chà nhám A,198,1,6.1
LOG-001231,LSX-TPC-1219,2026-01-09,Chà nhám B,485,0,7.4
LOG-001244,LSX-TPC-1221,2026-01-09,Sơn lót C,199,3,8.5
LOG-001288,LSX-TPB-1229,2026-01-09,Lắp ráp B,286,0,7.8
LOG-001310,LSX-TPC-1233,2026-01-09,Cắt phôi B,482,0,9.7
LOG-001326,LSX-TPA-1235,2026-01-09,Đóng gói C,103,2,9.7
LOG-001347,LSX-TPC-1239,2026-01-09,Sơn B,102,0,6.5
LOG-001474,LSX-TPA-1261,2026-01-09,Đóng gói C,190,1,7.3
LOG-001477,LSX-TPC-1262,2026-01-09,Lắp ráp A,293,6,9.0
LOG-001488,LSX-TPA-1264,2026-01-09,Chà nhám B,104,2,7.5
LOG-001527,LSX-TPB-1271,2026-01-09,Cắt phôi B,104,2,7.1
LOG-001554,LSX-TPB-1275,2026-01-09,Lắp phụ kiện B,313,5,7.7
LOG-001580,LSX-TPC-1280,2026-01-09,Chà nhám A,478,6,8.4
LOG-001622,LSX-TPB-1287,2026-01-09,Lắp ráp B,507,3,8.7
