voucher_id,item_code,item_name,unit,quantity,value_usd,days_in_stock
PK-20266255,TP_GWD-CH-08,Ghế ăn Windsor cổ điển GWD,bộ,349.53,2312.8,93
PK-20266346,TP_BTD-TB-04,Bàn trang điểm gương led BTD,bộ,64.19,834.12,100
PK-20266346,TP_GLV-CH-06,Ghế làm việc công thái học GLV,bộ,165.14,2534.04,138
PK-20266346,TP_GST-DC-01,Gương soi toàn thân viền gỗ GST,bộ,130.22,2045.25,82
PK-20266918,GO-NL-004,Gỗ óc chó Mỹ cỡ lớn,m3,84.63,484.24,126
PK-20267105,GO-NL-023,Gỗ hương Lào cỡ trung,m3,337.87,3278.43,19
PK-20267105,GO-NL-030,Gỗ thông ghép thanh cỡ nhỏ,m3,340.2,3561.46,121
PK-20267281,SM-HC-010,Keo dán gỗ sữa Vina Thùng 20L,Kg,413.04,8213.58,20
PK-20267281,SM-HC-011,Chất đóng rắn PU Thùng 5L,Kg,233.47,1918.76,116
PK-20267424,HC-VP-018,Nước rửa tay sát khuẩn Ram,ram,26.61,416.31,45
PK-20267424,HC-VP-010,Sổ ghi chép công việc Hộp,ram,200.9,3153.86,48
PK-20267598,DG-BB-012,Xốp bọc bong bóng Loại trung,cuộn,498.54,4915.45,15
PK-20267598,DG-BB-008,Băng keo dán thùng Loại nhỏ,cuộn,311.54,5070.4,96
PK-20267910,SM-HC-002,Sơn lót NC Thùng 20L,Kg,273.02,3561.84,60
PK-20267910,SM-HC-014,Tinh màu hạt dẻ Thùng 20L,Kg,434.36,2496.31,127
PK-20267910,SM-HC-017,Dầu lau gỗ chống trầy Thùng 5L,Kg,99.7,1339.24,132
PK-20268309,SM-HC-012,Chất đóng rắn PU Thùng 20L,Kg,305.31,3028.38,132
PK-20268309,SM-HC-009,Keo dán gỗ sữa Vina Thùng 5L,Kg,385.12,1556.13,99
PK-20268412,HC-VP-002,Giấy in Double A4 Thùng,ram,288.26,5449.29,11
PK-20268412,HC-VP-002,Giấy in Double A4 Thùng,ram,129.36,2015.19,144
PK-20260173,DG-BB-017,Nhãn mác sản phẩm Loại nhỏ,cuộn,483.48,8329.22,19
PK-20260737,DG-BB-018,Nhãn mác sản phẩm Loại trung,cuộn,251.57,801.43,141
PK-20260737,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,371.57,1077.13,43
PK-20260855,HH-SP-009,Đèn led dây trang trí Cỡ C,bộ,70.22,752.17,74
PK-20260855,HH-SP-006,Khóa cửa vân tay Cỡ C,bộ,365.15,4280.79,146
PK-20260855,HH-SP-010,Tay nâng tủ Blum Cỡ A,bộ,52.31,1036.51,31
PK-20260873,TP_SFG-SF-03,Sofa giường thông minh gấp gọn SFG,bộ,68.72,835.7,110
PK-20260994,GO-NL-009,Gỗ sồi Nga dày 50mm,m3,262.72,2838.56,111
PK-20260994,GO-NL-017,Gỗ gõ đỏ Nam Phi cỡ trung,m3,68.85,1244.09,65
PK-20261116,VT-PK-008,Ốc liên kết cam Cỡ 2,cái,218.98,4122.56,149
PK-20261116,VT-PK-008,Ốc liên kết cam Cỡ 2,cái,236.06,2737.11,75
PK-20261183,TP_SFD-SF-04,Sofa đơn bọc vải nhung SFD,bộ,306.86,1717.63,16
PK-20261183,TP_GXV-CH-10,Ghế xoay văn phòng có tựa GXV,bộ,441.32,7178.89,74
PK-20261183,TP_TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,bộ,372.11,3316.47,134
PK-20261286,HH-SP-018,Đệm ghế sofa Cỡ C,bộ,76.68,876.75,21
PK-20261286,HH-SP-015,Thảm trải sàn nỉ Cỡ C,bộ,299.4,5703.11,148
PK-20261335,DG-BB-003,Thùng carton 5 lớp Loại trung,cuộn,244.07,2747.71,139
PK-20261450,HC-VP-010,Sổ ghi chép công việc Hộp,ram,100.43,1350.42,118
PK-20262167,DG-BB-001,Thùng carton 5 lớp Loại lớn,cuộn,472.47,7242.99,68
PK-20262268,HH-SP-001,Bản lề hơi DTC Cỡ A,bộ,10.84,176.96,36
PK-20262268,HH-SP-018,Đệm ghế sofa Cỡ C,bộ,405.52,7950.97,106
PK-20262268,HH-SP-007,Đèn led dây trang trí Cỡ A,bộ,293.97,3082.31,50
PK-20262575,GO-NL-017,Gỗ gõ đỏ Nam Phi cỡ trung,m3,295.1,5329.78,117
PK-20262575,GO-NL-026,Gỗ thông ghép thanh dày 30mm,m3,43.93,394.45,43
PK-20262575,GO-NL-022,Gỗ hương Lào cỡ lớn,m3,172.21,1523.76,93
PK-20262700,SM-HC-017,Dầu lau gỗ chống trầy Thùng 5L,Kg,119.74,799.65,24
PK-20262765,HC-VP-018,Nước rửa tay sát khuẩn Ram,ram,231.61,3764.34,141
PK-20262765,HC-VP-012,Sổ ghi chép công việc Ram,ram,197.89,1730.4,77
PK-20262765,HC-VP-019,Khẩu trang y tế Hộp,ram,37.03,126.83,42
PK-20262803,GO-NL-011,Gỗ sồi Nga cỡ trung,m3,325.95,1426.39,73
PK-20262894,HH-SP-020,Gương trang trí Cỡ B,bộ,388.68,5676.14,122
PK-20262894,HH-SP-011,Tay nâng tủ Blum Cỡ B,bộ,385.41,1380.8,76
PK-20263034,HH-SP-014,Thảm trải sàn nỉ Cỡ B,bộ,68.74,698.8,33
PK-20263238,TP_BCN-TB-09,Bàn console trang trí BCN,bộ,29.96,594.1,117
PK-20263336,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,229.68,1421.73,69
PK-20263662,GO-NL-009,Gỗ sồi Nga dày 50mm,m3,147.01,1344.55,72
PK-20264057,DG-BB-017,Nhãn mác sản phẩm Loại nhỏ,cuộn,29.37,269.72,22
PK-20264057,DG-BB-017,Nhãn mác sản phẩm Loại nhỏ,cuộn,189.23,824.76,39
PK-20264057,DG-BB-004,Màng PE bọc hàng Loại lớn,cuộn,442.06,6008.79,79
PK-20264411,HC-VP-015,Kẹp tài liệu sắt Ram,ram,486.27,7292.03,50
PK-20264411,HC-VP-005,Mực máy in Canon Thùng,ram,377.71,5974.34,95
PK-20264411,HC-VP-016,Nước rửa tay sát khuẩn Hộp,ram,499.48,2671.11,22
PK-20264530,SM-HC-012,Chất đóng rắn PU Thùng 20L,Kg,189.93,3075.17,104
PK-20264703,VT-PK-017,Đinh vít thép không gỉ Cỡ 2,cái,200.57,1824.24,94
PK-20264703,VT-PK-010,Tay nắm tủ bếp Cỡ 1,cái,394.45,6423.73,60
PK-20264703,VT-PK-010,Tay nắm tủ bếp Cỡ 1,cái,208.72,1945.25,144
PK-20265177,HC-VP-001,Giấy in Double A4 Hộp,ram,288.9,2733.68,112
PK-20265177,HC-VP-009,Bút bi Thiên Long Ram,ram,494.83,8367.96,110
PK-20265177,HC-VP-016,Nước rửa tay sát khuẩn Hộp,ram,345.34,3183.54,134
PK-20265241,GO-NL-015,Gỗ gõ đỏ Nam Phi dày 50mm,m3,65.83,152.95,10
PK-20265383,GO-NL-007,Gỗ sồi Nga dày 20mm,m3,229.67,4450.57,131
PK-20265383,GO-NL-034,Gỗ xoan đào Gia Lai cỡ lớn,m3,384.74,3517.83,73
PK-20265696,DG-BB-005,Màng PE bọc hàng Loại nhỏ,cuộn,323.61,6124.67,104
PK-20265696,DG-BB-004,Màng PE bọc hàng Loại lớn,cuộn,272.57,5115.74,74
PK-20265853,TP_GLH-SF-07,Ghế lười hạt xốp cao cấp GLH,bộ,148.5,2636.41,18
PK-20265853,TP_SFG-SF-03,Sofa giường thông minh gấp gọn SFG,bộ,493.4,3527.71,106
PK-20266030,HH-SP-009,Đèn led dây trang trí Cỡ C,bộ,413.24,1937.49,123
PK-20266318,SM-HC-014,Tinh màu hạt dẻ Thùng 20L,Kg,89.31,1352.5,130
PK-20266318,SM-HC-013,Tinh màu hạt dẻ Thùng 5L,Kg,226.44,3486.53,125
PK-20266318,SM-HC-003,Sơn bóng PU Thùng 5L,Kg,385.24,966.91,47
PK-20266320,GO-NL-006,Gỗ óc chó Mỹ cỡ nhỏ,m3,444.88,1488.97,13
PK-20266320,GO-NL-031,Gỗ xoan đào Gia Lai dày 20mm,m3,70.98,866.24,142
PK-20266320,GO-NL-015,Gỗ gõ đỏ Nam Phi dày 50mm,m3,306.52,2124.35,112
PK-20266422,DG-BB-019,Góc xốp chống va đập Loại lớn,cuộn,414.11,2744.5,85
PK-20266422,DG-BB-011,Xốp bọc bong bóng Loại nhỏ,cuộn,206.84,1637.39,41
PK-20266939,DG-BB-018,Nhãn mác sản phẩm Loại trung,cuộn,372.26,3425.0,96
PK-20266939,DG-BB-004,Màng PE bọc hàng Loại lớn,cuộn,118.64,2081.4,121
PK-20266939,DG-BB-018,Nhãn mác sản phẩm Loại trung,cuộn,151.77,2415.2,66
PK-20266987,HC-VP-015,Kẹp tài liệu sắt Ram,ram,22.77,285.94,141
PK-20267107,GO-NL-003,Gỗ óc chó Mỹ dày 50mm,m3,389.73,4813.07,93
PK-20267107,GO-NL-003,Gỗ óc chó Mỹ dày 50mm,m3,305.16,1322.2,51
PK-20267644,VT-PK-017,Đinh vít thép không gỉ Cỡ 2,cái,90.92,1488.47,59
PK-20267644,VT-PK-017,Đinh vít thép không gỉ Cỡ 2,cái,298.7,3681.29,121
PK-20267644,VT-PK-018,Đinh vít thép không gỉ Cỡ 3,cái,154.73,750.3,111
PK-20267827,HC-VP-001,Giấy in Double A4 Hộp,ram,65.35,376.11,37
PK-20267827,HC-VP-001,Giấy in Double A4 Hộp,ram,430.25,7823.1,72
PK-20267827,HC-VP-013,Kẹp tài liệu sắt Hộp,ram,30.67,101.27,148
PK-20268351,GO-NL-014,Gỗ gõ đỏ Nam Phi dày 30mm,m3,275.61,4114.85,28
PK-20268351,GO-NL-003,Gỗ óc chó Mỹ dày 50mm,m3,21.5,248.31,137
PK-20268351,GO-NL-028,Gỗ thông ghép thanh cỡ lớn,m3,435.79,2072.87,19
PK-20268379,SM-HC-010,Keo dán gỗ sữa Vina Thùng 20L,Kg,100.33,473.71,85
PK-20268379,SM-HC-015,Sơn lót kháng kiềm Thùng 5L,Kg,130.91,2259.23,52
PK-20260075,GO-NL-018,Gỗ gõ đỏ Nam Phi cỡ nhỏ,m3,399.0,6293.71,54
PK-20260302,HH-SP-004,Khóa cửa vân tay Cỡ A,bộ,157.32,2116.62,20
PK-20260302,HH-SP-011,Tay nâng tủ Blum Cỡ B,bộ,407.76,7948.66,107
PK-20260304,SM-HC-017,Dầu lau gỗ chống trầy Thùng 5L,Kg,363.4,6561.89,127
PK-20260304,SM-HC-018,Dầu lau gỗ chống trầy Thùng 20L,Kg,477.92,5262.5,62
PK-20260304,SM-HC-001,Sơn lót NC Thùng 5L,Kg,134.73,813.14,96
PK-20260646,GO-NL-032,Gỗ xoan đào Gia Lai dày 30mm,m3,305.58,4289.27,97
PK-20260646,GO-NL-035,Gỗ xoan đào Gia Lai cỡ trung,m3,172.28,2261.21,142
PK-20260646,GO-NL-015,Gỗ gõ đỏ Nam Phi dày 50mm,m3,340.93,5502.67,61
PK-20261024,TP_TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,bộ,215.26,972.62,26
PK-20261024,TP_TRA-KB-05,Tủ rượu âm tường gỗ mun TRA,bộ,158.76,1346.69,32
PK-20261074,TP_TBP-KB-06,Tủ bếp gỗ công nghiệp cao cấp TBP,bộ,150.28,391.82,89
PK-20261685,VT-PK-001,Bản lề hơi giảm chấn Cỡ 1,cái,417.26,7243.86,46
PK-20262005,VT-PK-007,Ốc liên kết cam Cỡ 1,cái,211.06,2633.36,56
PK-20262005,VT-PK-020,Tay nâng cánh tủ Cỡ 2,cái,494.13,3438.22,89
PK-20262021,HC-VP-015,Kẹp tài liệu sắt Ram,ram,157.36,1343.59,63
PK-20262021,HC-VP-001,Giấy in Double A4 Hộp,ram,331.16,2832.63,48
PK-20262293,HH-SP-011,Tay nâng tủ Blum Cỡ B,bộ,387.56,1814.42,21
PK-20262786,GO-NL-034,Gỗ xoan đào Gia Lai cỡ lớn,m3,189.14,1584.3,112
PK-20262836,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,68.06,1087.58,68
PK-20262871,VT-PK-019,Tay nâng cánh tủ Cỡ 1,cái,444.94,1212.43,86
PK-20262871,VT-PK-004,Ray trượt ngăn kéo âm Cỡ 1,cái,440.28,4842.73,126
PK-20262871,VT-PK-006,Ray trượt ngăn kéo âm Cỡ 3,cái,329.58,4727.79,37
PK-20263022,HC-VP-001,Giấy in Double A4 Hộp,ram,76.05,652.83,137
PK-20263227,DG-BB-009,Băng keo dán thùng Loại trung,cuộn,213.56,4053.83,19
PK-20263227,DG-BB-014,Dây đai đóng đai Loại nhỏ,cuộn,21.35,96.59,35
PK-20263296,TP_TG-KB-04,Tủ giày thông minh 3 tầng TG,bộ,126.17,792.48,146
PK-20263514,DG-BB-012,Xốp bọc bong bóng Loại trung,cuộn,187.38,1401.82,49
PK-20263562,SM-HC-014,Tinh màu hạt dẻ Thùng 20L,Kg,13.56,37.58,59
PK-20263562,SM-HC-010,Keo dán gỗ sữa Vina Thùng 20L,Kg,246.75,1841.54,143
PK-20263562,SM-HC-010,Keo dán gỗ sữa Vina Thùng 20L,Kg,35.67,200.48,117
PK-20263590,HC-VP-016,Nước rửa tay sát khuẩn Hộp,ram,83.23,1045.55,141
PK-20263590,HC-VP-004,Mực máy in Canon Hộp,ram,113.19,1662.65,143
PK-20263634,GO-NL-028,Gỗ thông ghép thanh cỡ lớn,m3,265.54,4014.37,104
PK-20263634,GO-NL-016,Gỗ gõ đỏ Nam Phi cỡ lớn,m3,205.86,762.74,115
PK-20263881,DG-BB-017,Nhãn mác sản phẩm Loại nhỏ,cuộn,101.14,2002.6,103
PK-20263881,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,394.47,5727.55,39
PK-20263881,DG-BB-019,Góc xốp chống va đập Loại lớn,cuộn,444.17,4853.74,30
PK-20264109,HC-VP-017,Nước rửa tay sát khuẩn Thùng,ram,357.21,3829.77,22
PK-20264109,HC-VP-009,Bút bi Thiên Long Ram,ram,235.55,3188.27,36
PK-20264201,GO-NL-018,Gỗ gõ đỏ Nam Phi cỡ nhỏ,m3,69.0,1068.94,62
PK-20264201,GO-NL-020,Gỗ hương Lào dày 30mm,m3,104.68,1640.46,70
PK-20264238,TP_TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,bộ,85.25,1241.84,119
PK-20264266,TP_GBD-CH-04,Ghế băng dài phòng chờ GBD,bộ,310.61,4872.58,32
PK-20264299,DG-BB-018,Nhãn mác sản phẩm Loại trung,cuộn,105.92,1472.4,117
PK-20264324,SM-HC-007,Tinh màu gỗ Walnut Thùng 5L,Kg,237.76,3252.47,125
PK-20264324,SM-HC-008,Tinh màu gỗ Walnut Thùng 20L,Kg,297.81,1721.58,21
PK-20264324,SM-HC-015,Sơn lót kháng kiềm Thùng 5L,Kg,142.92,1959.17,94
PK-20265097,GO-NL-033,Gỗ xoan đào Gia Lai dày 50mm,m3,125.37,1793.7,113
PK-20265097,GO-NL-027,Gỗ thông ghép thanh dày 50mm,m3,273.12,3213.83,22
PK-20265109,SM-HC-020,Sơn epoxy bóng Thùng 20L,Kg,231.48,4231.22,62
PK-20265413,SM-HC-016,Sơn lót kháng kiềm Thùng 20L,Kg,187.73,988.09,122
PK-20265413,SM-HC-016,Sơn lót kháng kiềm Thùng 20L,Kg,166.03,2768.67,83
PK-20265413,SM-HC-013,Tinh màu hạt dẻ Thùng 5L,Kg,156.46,362.58,134
PK-20265694,HH-SP-004,Khóa cửa vân tay Cỡ A,bộ,485.01,9215.66,131
PK-20265694,HH-SP-011,Tay nâng tủ Blum Cỡ B,bộ,161.18,1413.79,61
PK-20265694,HH-SP-015,Thảm trải sàn nỉ Cỡ C,bộ,340.6,4179.0,72
PK-20265828,HH-SP-018,Đệm ghế sofa Cỡ C,bộ,442.31,6344.56,139
PK-20265828,HH-SP-018,Đệm ghế sofa Cỡ C,bộ,177.63,632.14,50
PK-20265863,GO-NL-013,Gỗ gõ đỏ Nam Phi dày 20mm,m3,328.78,1603.07,36
PK-20265863,GO-NL-012,Gỗ sồi Nga cỡ nhỏ,m3,132.86,1631.18,44
PK-20265863,GO-NL-006,Gỗ óc chó Mỹ cỡ nhỏ,m3,409.51,5097.13,79
PK-20265930,GO-NL-004,Gỗ óc chó Mỹ cỡ lớn,m3,52.25,367.67,136
PK-20266016,DG-BB-005,Màng PE bọc hàng Loại nhỏ,cuộn,118.31,527.96,61
PK-20266219,TP_GBD-CH-04,Ghế băng dài phòng chờ GBD,bộ,327.85,1515.52,82
PK-20266448,SM-HC-020,Sơn epoxy bóng Thùng 20L,Kg,152.73,1168.84,61
PK-20266713,HC-VP-013,Kẹp tài liệu sắt Hộp,ram,299.5,2537.35,97
PK-20266713,HC-VP-007,Bút bi Thiên Long Hộp,ram,204.06,3194.34,37
PK-20266740,DG-BB-003,Thùng carton 5 lớp Loại trung,cuộn,448.45,2984.24,123
PK-20266917,GO-NL-009,Gỗ sồi Nga dày 50mm,m3,499.73,4998.06,90
PK-20266973,HC-VP-009,Bút bi Thiên Long Ram,ram,132.86,2459.49,82
PK-20266973,HC-VP-020,Khẩu trang y tế Thùng,ram,175.01,1210.75,113
PK-20267265,GO-NL-012,Gỗ sồi Nga cỡ nhỏ,m3,67.48,150.35,57
PK-20267692,SM-HC-003,Sơn bóng PU Thùng 5L,Kg,63.04,478.22,126
PK-20267742,HH-SP-008,Đèn led dây trang trí Cỡ B,bộ,33.24,401.63,122
PK-20267742,HH-SP-014,Thảm trải sàn nỉ Cỡ B,bộ,245.07,3499.96,60
PK-20268119,SM-HC-011,Chất đóng rắn PU Thùng 5L,Kg,135.59,2616.42,128
PK-20268119,SM-HC-006,Dung môi butyl Thùng 20L,Kg,112.53,1495.77,143
PK-20268145,DG-BB-013,Dây đai đóng đai Loại lớn,cuộn,47.54,416.13,32
PK-20268480,HH-SP-019,Gương trang trí Cỡ A,bộ,453.31,3314.03,57
PK-20260292,VT-PK-008,Ốc liên kết cam Cỡ 2,cái,441.35,906.92,98
PK-20260292,VT-PK-010,Tay nắm tủ bếp Cỡ 1,cái,470.21,6021.32,45
PK-20260294,DG-BB-016,Nhãn mác sản phẩm Loại lớn,cuộn,25.01,404.57,44
PK-20260294,DG-BB-012,Xốp bọc bong bóng Loại trung,cuộn,105.71,627.01,92
PK-20260294,DG-BB-004,Màng PE bọc hàng Loại lớn,cuộn,336.73,2690.1,99
PK-20260360,HH-SP-007,Đèn led dây trang trí Cỡ A,bộ,492.29,7864.66,136
PK-20260559,GO-NL-019,Gỗ hương Lào dày 20mm,m3,463.16,5276.41,103
PK-20260559,GO-NL-002,Gỗ óc chó Mỹ dày 30mm,m3,229.86,3972.09,92
PK-20260618,DG-BB-011,Xốp bọc bong bóng Loại nhỏ,cuộn,187.66,3206.93,140
PK-20260618,DG-BB-016,Nhãn mác sản phẩm Loại lớn,cuộn,496.52,8236.89,83
PK-20260618,DG-BB-009,Băng keo dán thùng Loại trung,cuộn,35.88,434.75,39
PK-20260651,HH-SP-019,Gương trang trí Cỡ A,bộ,124.71,950.24,83
PK-20260651,HH-SP-001,Bản lề hơi DTC Cỡ A,bộ,92.92,564.62,112
PK-20260651,HH-SP-003,Bản lề hơi DTC Cỡ C,bộ,440.26,4675.91,69
PK-20261292,SM-HC-010,Keo dán gỗ sữa Vina Thùng 20L,Kg,137.4,397.1,109
PK-20261292,SM-HC-006,Dung môi butyl Thùng 20L,Kg,298.64,4583.34,30
PK-20261376,HC-VP-014,Kẹp tài liệu sắt Thùng,ram,442.01,2811.45,69
PK-20261376,HC-VP-019,Khẩu trang y tế Hộp,ram,471.93,8861.83,66
PK-20261376,HC-VP-009,Bút bi Thiên Long Ram,ram,240.51,3243.41,118
PK-20261555,GO-NL-025,Gỗ thông ghép thanh dày 20mm,m3,358.73,6622.01,137
PK-20261555,GO-NL-008,Gỗ sồi Nga dày 30mm,m3,306.81,2060.24,43
PK-20261555,GO-NL-021,Gỗ hương Lào dày 50mm,m3,13.24,254.01,49
PK-20261644,HC-VP-002,Giấy in Double A4 Thùng,ram,283.31,671.75,34
PK-20261842,HH-SP-020,Gương trang trí Cỡ B,bộ,160.62,2354.63,82
PK-20261842,HH-SP-003,Bản lề hơi DTC Cỡ C,bộ,200.72,1075.53,125
PK-20261876,HC-VP-002,Giấy in Double A4 Thùng,ram,480.92,2849.3,82
PK-20261876,HC-VP-020,Khẩu trang y tế Thùng,ram,281.02,5406.61,40
PK-20261876,HC-VP-011,Sổ ghi chép công việc Thùng,ram,13.64,98.99,88
