order_id,product_code,product_name,category,qty,price,total_amount
DH-20265777,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,10,12.8,128.0
DH-20265777,HAK-DC-09,Hộp đựng khăn giấy gỗ óc chó HAK,Đồ trang trí,20,7.9,158.0
DH-20265784,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,5,502.99,2514.95
DH-20265784,DHG-DC-02,Đồng hồ gỗ treo tường nghệ thuật DHG,Đồ trang trí,5,13.47,67.35
DH-20265847,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,5,12.13,60.65
DH-20265847,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,10,25.87,258.7
DH-20265847,BTD-TB-04,Bàn trang điểm gương led BTD,Bàn gỗ,2,52.81,105.62
DH-20265856,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,10,64.85,648.5
DH-20265856,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,5,170.66,853.3
DH-20265856,KTG-KB-10,Kệ treo tường lục giác gỗ KTG,Tủ kệ,5,8.49,42.45
DH-20266081,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,1,311.23,311.23
DH-20266143,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,10,153.59,1535.9
DH-20266162,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,10,52.9,529.0
DH-20266377,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,1,128.44,128.44
DH-20266447,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,1,528.14,528.14
DH-20266447,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,1,61.08,61.08
DH-20266447,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,10,15.81,158.1
DH-20266560,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,5,128.44,642.2
DH-20266560,GST-DC-01,Gương soi toàn thân viền gỗ GST,Đồ trang trí,10,24.52,245.2
DH-20266560,KSD-KB-03,Kệ sách đứng gỗ cao su KSD,Tủ kệ,10,31.53,315.3
DH-20266583,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,5,175.87,879.35
DH-20266583,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,2,61.44,122.88
DH-20266583,GWD-CH-08,Ghế ăn Windsor cổ điển GWD,Ghế gỗ,10,21.74,217.4
DH-20266636,HAK-DC-09,Hộp đựng khăn giấy gỗ óc chó HAK,Đồ trang trí,10,6.47,64.7
DH-20266636,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,2,71.68,143.36
DH-20266865,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,2,105.09,210.18
DH-20266865,TCV-DC-03,Tranh canvas treo phòng khách TCV,Đồ trang trí,20,10.24,204.8
DH-20266865,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,10,35.57,355.7
DH-20267111,GST-DC-01,Gương soi toàn thân viền gỗ GST,Đồ trang trí,10,22.19,221.9
DH-20267111,SFY-SF-05,Sofa tình yêu da bóng SFY,Sofa,2,76.8,153.6
DH-20267111,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,28.74,57.48
DH-20267211,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,5,13.65,68.25
DH-20267211,DSF-SF-10,Đôn sofa bọc vải tròn DSF,Sofa,1,11.32,11.32
DH-20267211,GWD-CH-08,Ghế ăn Windsor cổ điển GWD,Ghế gỗ,1,17.78,17.78
DH-20267249,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,10,55.69,556.9
DH-20267429,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,5,10.51,52.55
DH-20267429,HAK-DC-09,Hộp đựng khăn giấy gỗ óc chó HAK,Đồ trang trí,10,6.47,64.7
DH-20267429,GWD-CH-08,Ghế ăn Windsor cổ điển GWD,Ghế gỗ,1,19.76,19.76
DH-20267510,SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,Sofa,10,348.95,3489.5
DH-20267510,KTT-KB-07,Kệ trang trí khung sắt đợt gỗ KTT,Tủ kệ,2,23.89,47.78
DH-20267510,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,5,179.19,895.95
DH-20267652,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,2,159.88,319.76
DH-20267668,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,2,122.6,245.2
DH-20267719,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,10,79.22,792.2
DH-20267793,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,2,143.89,287.78
DH-20267793,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,1,31.62,31.62
DH-20267793,KSD-KB-03,Kệ sách đứng gỗ cao su KSD,Tủ kệ,2,38.53,77.06
DH-20267903,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,10,311.23,3112.3
DH-20267910,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,1,15.09,15.09
DH-20267930,KCH-DC-05,Kệ cắm hoa decor phòng khách KCH,Đồ trang trí,20,8.08,161.6
DH-20267930,HAK-DC-09,Hộp đựng khăn giấy gỗ óc chó HAK,Đồ trang trí,10,7.19,71.9
DH-20267975,GXV-CH-10,Ghế xoay văn phòng có tựa GXV,Ghế gỗ,5,32.43,162.15
DH-20267975,DNG-DC-04,Đèn ngủ thân gỗ đế tròn DNG,Đồ trang trí,20,14.55,291.0
DH-20268126,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,1,45.27,45.27
DH-20268729,DSF-SF-10,Đôn sofa bọc vải tròn DSF,Sofa,2,12.57,25.14
DH-20268729,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,2,296.41,592.82
DH-20268856,GLH-SF-07,Ghế lười hạt xốp cao cấp GLH,Sofa,10,15.36,153.6
DH-20268998,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,10,21.56,215.6
DH-20268998,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,10,67.19,671.9
DH-20268998,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,2,54.97,109.94
DH-20269019,GBD-CH-04,Ghế băng dài phòng chờ GBD,Ghế gỗ,2,35.57,71.14
DH-20269019,SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,Sofa,2,332.34,664.68
DH-20269038,KTT-KB-07,Kệ trang trí khung sắt đợt gỗ KTT,Tủ kệ,2,27.66,55.32
DH-20269069,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,10,20.75,207.5
DH-20269069,KCH-DC-05,Kệ cắm hoa decor phòng khách KCH,Đồ trang trí,20,9.43,188.6
DH-20269102,HAK-DC-09,Hộp đựng khăn giấy gỗ óc chó HAK,Đồ trang trí,10,7.54,75.4
DH-20269102,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,5,45.27,226.35
DH-20269102,TBP-KB-06,Tủ bếp gỗ công nghiệp cao cấp TBP,Tủ kệ,1,565.87,565.87
DH-20269292,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,10,19.76,197.6
DH-20269292,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,10,17.78,177.8
DH-20269304,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,10,227.25,2272.5
DH-20269456,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,1,14.15,14.15
DH-20269489,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,5,11.09,55.45
DH-20269489,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,2,528.14,1056.28
DH-20269500,BHS-TB-05,Bàn học sinh chống gù BHS,Bàn gỗ,1,29.1,29.1
DH-20269500,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,1,25.87,25.87
DH-20269656,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,1,27.31,27.31
DH-20269656,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,1,68.26,68.26
DH-20269656,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,20,11.68,233.6
DH-20269970,BTD-TB-04,Bàn trang điểm gương led BTD,Bàn gỗ,1,45.27,45.27
DH-20260171,TCV-DC-03,Tranh canvas treo phòng khách TCV,Đồ trang trí,20,11.86,237.2
DH-20260171,GTR-DC-08,Giá treo quần áo chữ A GTR,Đồ trang trí,10,10.51,105.1
DH-20260408,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,10,159.88,1598.8
DH-20260408,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,10,452.69,4526.9
DH-20260572,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,10,227.25,2272.5
DH-20260572,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,2,553.29,1106.58
DH-20260653,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,10,61.44,614.4
DH-20260727,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,10,37.54,375.4
DH-20260727,KSD-KB-03,Kệ sách đứng gỗ cao su KSD,Tủ kệ,2,35.03,70.06
DH-20260829,MOGA-TB-06,Bàn ăn tròn xoay Mộc Gia,Bàn gỗ,10,152.69,1526.9
DH-20260829,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,1,311.23,311.23
DH-20260829,GST-DC-01,Gương soi toàn thân viền gỗ GST,Đồ trang trí,10,24.52,245.2
DH-20260973,TCV-DC-03,Tranh canvas treo phòng khách TCV,Đồ trang trí,20,11.32,226.4
DH-20260973,SFK-SF-06,Sofa phòng khách gỗ sồi SFK,Sofa,1,296.41,296.41
DH-20261352,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,5,20.75,103.75
DH-20261352,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,10,216.92,2169.2
DH-20261352,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,5,45.27,226.35
DH-20261450,KCH-DC-05,Kệ cắm hoa decor phòng khách KCH,Đồ trang trí,20,9.43,188.6
DH-20261450,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,2,43.47,86.94
DH-20261475,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,10,143.89,1438.9
DH-20261547,TRA-KB-05,Tủ rượu âm tường gỗ mun TRA,Tủ kệ,10,358.38,3583.8
DH-20261586,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,5,23.71,118.55
DH-20261822,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,28.74,57.48
DH-20261856,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,10,16.17,161.7
DH-20261856,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,5,52.9,264.5
DH-20262225,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,1,28.74,28.74
DH-20262301,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,5,227.25,1136.25
DH-20262301,DHG-DC-02,Đồng hồ gỗ treo tường nghệ thuật DHG,Đồ trang trí,10,12.13,121.3
DH-20262301,TBP-KB-06,Tủ bếp gỗ công nghiệp cao cấp TBP,Tủ kệ,1,660.18,660.18
DH-20262558,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,1,227.25,227.25
DH-20262558,GBB-CH-05,Ghế bập bênh thư giãn GBB,Ghế gỗ,2,60.36,120.72
DH-20262665,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,5,43.47,217.35
DH-20262665,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,1,170.66,170.66
DH-20262665,BHS-TB-05,Bàn học sinh chống gù BHS,Bàn gỗ,10,29.1,291.0
DH-20262842,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,2,82.99,165.98
DH-20262842,MOGA-TB-06,Bàn ăn tròn xoay Mộc Gia,Bàn gỗ,2,160.33,320.66
DH-20262842,SFN-SF-09,Sofa nỉ văng tân cổ điển SFN,Sofa,2,299.1,598.2
DH-20262881,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,2,17.78,35.56
DH-20262881,TLS-DC-06,Thảm lót sàn dệt tay họa tiết TLS,Đồ trang trí,10,39.61,396.1
DH-20262881,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,2,71.68,143.36
DH-20262909,DHG-DC-02,Đồng hồ gỗ treo tường nghệ thuật DHG,Đồ trang trí,5,12.13,60.65
DH-20262909,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,10,75.45,754.5
DH-20263077,KSD-KB-03,Kệ sách đứng gỗ cao su KSD,Tủ kệ,5,36.78,183.9
DH-20263215,SFG-SF-01,Sofa góc nỉ Cozy L-Shape SFG,Sofa,10,206.59,2065.9
DH-20263215,BTD-TB-04,Bàn trang điểm gương led BTD,Bàn gỗ,5,50.3,251.5
DH-20263215,TQA-KB-01,Tủ quần áo 4 cánh gỗ thông TQA,Tủ kệ,5,143.89,719.45
DH-20263284,GDO-CH-07,Ghế đôn tròn gỗ tự nhiên GDO,Ghế gỗ,1,7.9,7.9
DH-20263351,KHG-DC-07,Khay gỗ đựng trà bánh đa năng KHG,Đồ trang trí,20,6.6,132.0
DH-20263360,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,2,61.08,122.16
DH-20263360,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,2,10.78,21.56
DH-20263756,BHS-TB-05,Bàn học sinh chống gù BHS,Bàn gỗ,5,29.1,145.5
DH-20263888,GLV-CH-06,Ghế làm việc công thái học GLV,Ghế gỗ,10,49.4,494.0
DH-20264364,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,1,153.59,153.59
DH-20264478,GBD-CH-04,Ghế băng dài phòng chờ GBD,Ghế gỗ,1,39.52,39.52
DH-20264478,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,10,52.9,529.0
DH-20264478,SFG-SF-03,Sofa giường thông minh gấp gọn SFG,Sofa,2,179.19,358.38
DH-20265056,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,5,15.81,79.05
DH-20265056,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,2,11.86,23.72
DH-20265056,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,2,9.7,19.4
DH-20265075,GLC-CH-02,Ghế tựa lưng cong Luxury GLC,Ghế gỗ,5,26.95,134.75
DH-20265075,KSD-KB-03,Kệ sách đứng gỗ cao su KSD,Tủ kệ,2,38.53,77.06
DH-20265075,TBP-KB-06,Tủ bếp gỗ công nghiệp cao cấp TBP,Tủ kệ,10,565.87,5658.7
DH-20265564,DHG-DC-02,Đồng hồ gỗ treo tường nghệ thuật DHG,Đồ trang trí,5,14.15,70.75
DH-20265564,KHG-DC-07,Khay gỗ đựng trà bánh đa năng KHG,Đồ trang trí,20,6.6,132.0
DH-20265671,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,10,14.15,141.5
DH-20265732,FOLD-TB-02,Bàn trà sồi chân sắt FOLD,Bàn gỗ,10,37.54,375.4
DH-20266069,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,5,11.32,56.6
DH-20266192,GLH-SF-07,Ghế lười hạt xốp cao cấp GLH,Sofa,1,15.36,15.36
DH-20266192,GXV-CH-10,Ghế xoay văn phòng có tựa GXV,Ghế gỗ,10,35.84,358.4
DH-20266192,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,10,12.8,128.0
DH-20266489,BTD-TB-04,Bàn trang điểm gương led BTD,Bàn gỗ,2,45.27,90.54
DH-20266489,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,10,16.98,169.8
DH-20266785,GDO-CH-07,Ghế đôn tròn gỗ tự nhiên GDO,Ghế gỗ,5,7.19,35.95
DH-20266903,DHG-DC-02,Đồng hồ gỗ treo tường nghệ thuật DHG,Đồ trang trí,5,13.47,67.35
DH-20266903,GDO-CH-07,Ghế đôn tròn gỗ tự nhiên GDO,Ghế gỗ,1,6.83,6.83
DH-20267268,DDS-DC-10,Đèn đứng đọc sách vintage DDS,Đồ trang trí,5,20.75,103.75
DH-20267426,TTL-KB-09,Tủ tài liệu văn phòng nhiều ngăn TTL,Tủ kệ,10,67.19,671.9
DH-20267426,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,30.18,60.36
DH-20267426,TG-KB-04,Tủ giày thông minh 3 tầng TG,Tủ kệ,2,25.87,51.74
DH-20267428,GLC-CH-02,Ghế tựa lưng cong Luxury GLC,Ghế gỗ,10,26.95,269.5
DH-20267428,GBB-CH-05,Ghế bập bênh thư giãn GBB,Ghế gỗ,10,60.36,603.6
DH-20267428,TRA-KB-05,Tủ rượu âm tường gỗ mun TRA,Tủ kệ,1,414.97,414.97
DH-20267816,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,10,43.11,431.1
DH-20267816,SFB-SF-02,Sofa băng da bò thật Luxury SFB,Sofa,2,477.84,955.68
DH-20267816,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,10,128.44,1284.4
DH-20267840,DNG-DC-04,Đèn ngủ thân gỗ đế tròn DNG,Đồ trang trí,5,16.98,84.9
DH-20267840,GLV-CH-06,Ghế làm việc công thái học GLV,Ghế gỗ,5,42.66,213.3
DH-20267982,GST-DC-01,Gương soi toàn thân viền gỗ GST,Đồ trang trí,20,25.69,513.8
DH-20267982,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,10,55.69,556.9
DH-20267982,TBP-KB-06,Tủ bếp gỗ công nghiệp cao cấp TBP,Tủ kệ,5,565.87,2829.35
DH-20268182,BHP-TB-08,Bàn họp lớn văn phòng BHP,Bàn gỗ,2,296.41,592.82
DH-20268182,GXP-CH-09,Ghế xếp gọn dã ngoại GXP,Ghế gỗ,5,14.15,70.75
DH-20268182,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,1,16.98,16.98
DH-20268278,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,2,15.81,31.62
DH-20268716,BHP-TB-08,Bàn họp lớn văn phòng BHP,Bàn gỗ,2,296.41,592.82
DH-20268921,ATLA-TB-03,Bàn làm việc thông minh ATLA,Bàn gỗ,10,61.44,614.4
DH-20269252,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,1,79.22,79.22
DH-20269278,DSF-SF-10,Đôn sofa bọc vải tròn DSF,Sofa,1,11.95,11.95
DH-20269447,TRA-KB-05,Tủ rượu âm tường gỗ mun TRA,Tủ kệ,10,358.38,3583.8
DH-20269447,BCF-TB-07,Bàn cafe gỗ thông pallet BCF,Bàn gỗ,2,15.36,30.72
DH-20269657,ACVD-TB-01,Bàn ăn gỗ sồi Mỹ ACVD,Bàn gỗ,1,110.93,110.93
DH-20269657,SFB-SF-08,Sofa bench đệm giả da SFB,Sofa,2,43.11,86.22
DH-20269746,TDG-KB-08,Tủ đầu giường 2 ngăn kéo TDG,Tủ kệ,10,15.09,150.9
DH-20269746,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,2,61.26,122.52
DH-20260098,TRA-KB-05,Tủ rượu âm tường gỗ mun TRA,Tủ kệ,5,358.38,1791.9
DH-20260363,SFY-SF-05,Sofa tình yêu da bóng SFY,Sofa,1,80.84,80.84
DH-20260363,KTV-KB-02,Kệ tivi phòng khách sồi KTV,Tủ kệ,10,79.22,792.2
DH-20260445,GAC-CH-01,Ghế ăn mộc gỗ cao su GAC,Ghế gỗ,10,11.86,118.6
DH-20260445,GBR-CH-03,Ghế bar chân sắt đệm gỗ GBR,Ghế gỗ,1,14.51,14.51
DH-20260631,BTN-TB-10,Bàn trà Nhật bệt gỗ xoan BTN,Bàn gỗ,10,22.63,226.3
DH-20260631,KTG-KB-10,Kệ treo tường lục giác gỗ KTG,Tủ kệ,1,8.08,8.08
DH-20260631,SFD-SF-04,Sofa đơn bọc vải nhung SFD,Sofa,1,61.44,61.44
DH-20260869,BCN-TB-09,Bàn console trang trí BCN,Bàn gỗ,2,61.26,122.52
